word1,word2,word3,n,date
covid,19,pandemic,5382,2020-09-01T00:00:00Z
covid,19,vaccine,3277,2020-09-01T00:00:00Z
covid,19,deaths,2318,2020-09-01T00:00:00Z
covid,19,testing,1218,2020-09-01T00:00:00Z
covid,19,test,977,2020-09-01T00:00:00Z
covid,19,crisis,932,2020-09-01T00:00:00Z
amid,covid,19,860,2020-09-01T00:00:00Z
covid,19,patients,800,2020-09-01T00:00:00Z
pre,existing,conditions,775,2020-09-01T00:00:00Z
linked,global,effort,767,2020-09-01T00:00:00Z
zapier,app,checkout,762,2020-09-01T00:00:00Z
vaccine,wapo,reports,758,2020-09-01T00:00:00Z
19,vaccine,wapo,755,2020-09-01T00:00:00Z
covid,19,death,745,2020-09-01T00:00:00Z
coronavirus,death,toll,695,2020-09-01T00:00:00Z
covid,19,tests,676,2020-09-01T00:00:00Z
distribute,coronavirus,vaccine,671,2020-09-01T00:00:00Z
covid,19,vaccines,664,2020-09-01T00:00:00Z
covid,19,update,657,2020-09-01T00:00:00Z
develop,distribute,coronavirus,646,2020-09-01T00:00:00Z
covid,19,outbreak,631,2020-09-01T00:00:00Z
covid,19,response,622,2020-09-01T00:00:00Z
post,covid,19,586,2020-09-01T00:00:00Z
covid,19,covid,581,2020-09-01T00:00:00Z
sars,cov,2,572,2020-09-01T00:00:00Z
cheryltaylor204,book970,batnat007,556,2020-09-01T00:00:00Z
davidlevy101,leahmpm,mtnlovertoo,556,2020-09-01T00:00:00Z
leahmpm,mtnlovertoo,crelison,556,2020-09-01T00:00:00Z
mtnlovertoo,crelison,deidrebarker13,556,2020-09-01T00:00:00Z
crelison,deidrebarker13,1stkiersten,555,2020-09-01T00:00:00Z
mysticmusings,cheryltaylor204,book970,555,2020-09-01T00:00:00Z
1stkiersten,mysticmusings,cheryltaylor204,554,2020-09-01T00:00:00Z
deidrebarker13,1stkiersten,mysticmusings,554,2020-09-01T00:00:00Z
19,covid,19,552,2020-09-01T00:00:00Z
covid,19,related,543,2020-09-01T00:00:00Z
elderly,covid,patients,496,2020-09-01T00:00:00Z
sallyresist,davidlevy101,leahmpm,496,2020-09-01T00:00:00Z
samvotefbr,sallyresist,davidlevy101,480,2020-09-01T00:00:00Z
coronavirus,task,force,472,2020-09-01T00:00:00Z
covid,19,restrictions,472,2020-09-01T00:00:00Z
confirmed,covid,19,469,2020-09-01T00:00:00Z
covid,19,relief,467,2020-09-01T00:00:00Z
positive,covid,19,461,2020-09-01T00:00:00Z
past,vaccine,disasters,445,2020-09-01T00:00:00Z
herd,immunity,strategy,437,2020-09-01T00:00:00Z
cdc,quietly,updated,429,2020-09-01T00:00:00Z
bbc,news,coronavirus,406,2020-09-01T00:00:00Z
laurencerosenz3,tinafayeee,mick11113,404,2020-09-01T00:00:00Z
mick11113,andthebandaides,citizenwonk,404,2020-09-01T00:00:00Z
tinafayeee,mick11113,andthebandaides,404,2020-09-01T00:00:00Z
investtoelectil,laurencerosenz3,tinafayeee,403,2020-09-01T00:00:00Z
batnat007,investtoelectil,laurencerosenz3,402,2020-09-01T00:00:00Z
book970,batnat007,investtoelectil,402,2020-09-01T00:00:00Z
covid,19,lockdown,401,2020-09-01T00:00:00Z
covid,19,virus,391,2020-09-01T00:00:00Z
coronavirus,covid,19,390,2020-09-01T00:00:00Z
cdc,coronavirus,death,381,2020-09-01T00:00:00Z
low,cdc,coronavirus,379,2020-09-01T00:00:00Z
covid,19,positive,378,2020-09-01T00:00:00Z
gmb,piersmorgan,pierscorbyn,376,2020-09-01T00:00:00Z
covid,death,count,371,2020-09-01T00:00:00Z
task,force,reports,363,2020-09-01T00:00:00Z
underlying,health,conditions,352,2020-09-01T00:00:00Z
fauci,debunks,theories,344,2020-09-01T00:00:00Z
covid,19,exposure,340,2020-09-01T00:00:00Z
updated,covid,19,336,2020-09-01T00:00:00Z
0208,090,2121,332,2020-09-01T00:00:00Z
empower,educate,talk,332,2020-09-01T00:00:00Z
entertain,empower,educate,332,2020-09-01T00:00:00Z
jbm32753,samvotefbr,sallyresist,332,2020-09-01T00:00:00Z
covid,19,spread,330,2020-09-01T00:00:00Z
september,1,2020,327,2020-09-01T00:00:00Z
coronavirus,live,updates,326,2020-09-01T00:00:00Z
quietly,updated,covid,323,2020-09-01T00:00:00Z
fight,covid,19,318,2020-09-01T00:00:00Z
a4ny14,wordsdawn,aussiedebpeace,316,2020-09-01T00:00:00Z
lizmoblubuckeye,a4ny14,wordsdawn,316,2020-09-01T00:00:00Z
ajb59,theamandaburns1,nickitoma,315,2020-09-01T00:00:00Z
dadilicious2,endgame2021,lourdes9851,315,2020-09-01T00:00:00Z
empathgapp,ordinary1world,natemax,315,2020-09-01T00:00:00Z
endgame2021,lourdes9851,nicedreamwithu,315,2020-09-01T00:00:00Z
fix8d2020,irkenz,ajb59,315,2020-09-01T00:00:00Z
irkenz,ajb59,theamandaburns1,315,2020-09-01T00:00:00Z
jollymollyroger,stayceespeaks,oddworld2020,315,2020-09-01T00:00:00Z
lepapillonblu,fix8d2020,irkenz,315,2020-09-01T00:00:00Z
lourdes9851,nicedreamwithu,wonkamonka,315,2020-09-01T00:00:00Z
mdomino07,jollymollyroger,stayceespeaks,315,2020-09-01T00:00:00Z
natemax,kingrezizt,hechtsusan,315,2020-09-01T00:00:00Z
nicedreamwithu,wonkamonka,lizmoblubuckeye,315,2020-09-01T00:00:00Z
nickitoma,dadilicious2,endgame2021,315,2020-09-01T00:00:00Z
ordinary1world,natemax,kingrezizt,315,2020-09-01T00:00:00Z
theamandaburns1,nickitoma,dadilicious2,315,2020-09-01T00:00:00Z
wonkamonka,lizmoblubuckeye,a4ny14,315,2020-09-01T00:00:00Z
9210,americans,died,311,2020-09-01T00:00:00Z
kingrezizt,hechtsusan,larryhillyer3,310,2020-09-01T00:00:00Z
doingjack,effygotbanned,rn00711,308,2020-09-01T00:00:00Z
effygotbanned,rn00711,empathgapp,308,2020-09-01T00:00:00Z
oddworld2020,claudiababyg,doxie53,308,2020-09-01T00:00:00Z
rn00711,empathgapp,ordinary1world,308,2020-09-01T00:00:00Z
stayceespeaks,oddworld2020,claudiababyg,308,2020-09-01T00:00:00Z
newmerica92,reglissade,lepapillonblu,304,2020-09-01T00:00:00Z
reglissade,lepapillonblu,fix8d2020,304,2020-09-01T00:00:00Z
crisn3wy,unangemessene,mdomino07,298,2020-09-01T00:00:00Z
unangemessene,mdomino07,jollymollyroger,298,2020-09-01T00:00:00Z
covid,19,infections,291,2020-09-01T00:00:00Z
covid,19,recovery,290,2020-09-01T00:00:00Z
covid,19,situation,283,2020-09-01T00:00:00Z
covid,19,data,279,2020-09-01T00:00:00Z
underlying,medical,conditions,275,2020-09-01T00:00:00Z
deaths,covid,19,274,2020-09-01T00:00:00Z
covid,19,coronavirus,272,2020-09-01T00:00:00Z
week,cdc,quietly,272,2020-09-01T00:00:00Z
public,health,officials,270,2020-09-01T00:00:00Z
covid,19,infection,261,2020-09-01T00:00:00Z
pandemic,news,coronavirus,259,2020-09-01T00:00:00Z
