word1,word2,word3,n,date
covid,19,vaccine,3441,2020-12-26T00:00:00Z
covid,relief,bill,2817,2020-12-26T00:00:00Z
covid,19,pandemic,1945,2020-12-26T00:00:00Z
covid,19,vaccines,1176,2020-12-26T00:00:00Z
covid,19,relief,1048,2020-12-26T00:00:00Z
covid,19,variant,705,2020-12-26T00:00:00Z
severe,allergic,reaction,654,2020-12-26T00:00:00Z
19,relief,bill,589,2020-12-26T00:00:00Z
covid,19,test,567,2020-12-26T00:00:00Z
covid,19,deaths,546,2020-12-26T00:00:00Z
covid,19,virus,477,2020-12-26T00:00:00Z
moderna,covid,vaccine,456,2020-12-26T00:00:00Z
tier,4,lockdown,443,2020-12-26T00:00:00Z
covid,19,patients,402,2020-12-26T00:00:00Z
covid,19,strain,384,2020-12-26T00:00:00Z
sars,cov,2,375,2020-12-26T00:00:00Z
cdcs,failed,race,361,2020-12-26T00:00:00Z
covid,ー,19,322,2020-12-26T00:00:00Z
covid,relief,package,322,2020-12-26T00:00:00Z
covid,19,vaccination,315,2020-12-26T00:00:00Z
covid,19,restrictions,310,2020-12-26T00:00:00Z
worlds,biggest,economy,307,2020-12-26T00:00:00Z
health,care,workers,287,2020-12-26T00:00:00Z
uk,scientists,trial,287,2020-12-26T00:00:00Z
covid,19,data,285,2020-12-26T00:00:00Z
covid,relief,hangs,282,2020-12-26T00:00:00Z
covid,19,outbreak,277,2020-12-26T00:00:00Z
negative,covid,19,276,2020-12-26T00:00:00Z
boxing,day,sales,275,2020-12-26T00:00:00Z
moderna,covid,19,268,2020-12-26T00:00:00Z
covid,19,testing,266,2020-12-26T00:00:00Z
africa,doctors,fear,263,2020-12-26T00:00:00Z
covid,19,tests,260,2020-12-26T00:00:00Z
covid,aid,bill,257,2020-12-26T00:00:00Z
modernas,covid,vaccine,247,2020-12-26T00:00:00Z
covid,19,update,243,2020-12-26T00:00:00Z
gt,gt,gt,241,2020-12-26T00:00:00Z
negative,covid,test,237,2020-12-26T00:00:00Z
scientists,trial,drug,236,2020-12-26T00:00:00Z
covid,19,infections,235,2020-12-26T00:00:00Z
black,doctor,dies,234,2020-12-26T00:00:00Z
president,donald,trump,231,2020-12-26T00:00:00Z
covid,19,stimulus,230,2020-12-26T00:00:00Z
coronavirus,covid,19,229,2020-12-26T00:00:00Z
sign,covid,relief,225,2020-12-26T00:00:00Z
boston,doctor,reports,222,2020-12-26T00:00:00Z
covid,variant,found,215,2020-12-26T00:00:00Z
amid,covid,19,208,2020-12-26T00:00:00Z
uk,coronavirus,variant,208,2020-12-26T00:00:00Z
los,angeles,county,207,2020-12-26T00:00:00Z
pre,existing,conditions,207,2020-12-26T00:00:00Z
covid,19,bill,204,2020-12-26T00:00:00Z
covid,19,crisis,203,2020-12-26T00:00:00Z
covid,19,response,203,2020-12-26T00:00:00Z
covid,19,vaccinations,201,2020-12-26T00:00:00Z
unemployment,aid,set,196,2020-12-26T00:00:00Z
bill,remain,unclear,194,2020-12-26T00:00:00Z
covid,19,symptoms,194,2020-12-26T00:00:00Z
relief,bill,remain,194,2020-12-26T00:00:00Z
coronavirus,variant,found,193,2020-12-26T00:00:00Z
covid,19,uk,190,2020-12-26T00:00:00Z
sign,covid,19,190,2020-12-26T00:00:00Z
duke,womens,basketball,187,2020-12-26T00:00:00Z
december,26,2020,186,2020-12-26T00:00:00Z
wearamask,wearamask,wearamask,186,2020-12-26T00:00:00Z
covid,19,protocols,182,2020-12-26T00:00:00Z
covid,19,related,178,2020-12-26T00:00:00Z
covid,19,death,176,2020-12-26T00:00:00Z
admin,cab,gop,171,2020-12-26T00:00:00Z
cab,gop,mitch,171,2020-12-26T00:00:00Z
climbing,dead,330k,171,2020-12-26T00:00:00Z
family,admin,cab,171,2020-12-26T00:00:00Z
gop,mitch,pence,171,2020-12-26T00:00:00Z
trump,gop,genocide,171,2020-12-26T00:00:00Z
covid,19,list,169,2020-12-26T00:00:00Z
chinas,deadly,covid,168,2020-12-26T00:00:00Z
deadly,covid,cover,167,2020-12-26T00:00:00Z
board,chinas,deadly,166,2020-12-26T00:00:00Z
editorial,board,chinas,166,2020-12-26T00:00:00Z
positive,covid,19,165,2020-12-26T00:00:00Z
covid,19,weeks,162,2020-12-26T00:00:00Z
post,editorial,board,162,2020-12-26T00:00:00Z
coronavirus,coronavirusupdate,covid19,161,2020-12-26T00:00:00Z
coronavirusupdate,covid19,coronaviruspandemic,161,2020-12-26T00:00:00Z
gmt,coronavirus,coronavirusupdate,161,2020-12-26T00:00:00Z
ny,post,editorial,161,2020-12-26T00:00:00Z
covid,19,patient,159,2020-12-26T00:00:00Z
covid,19,positive,159,2020-12-26T00:00:00Z
covid,19,lockdown,158,2020-12-26T00:00:00Z
happy,boxing,day,158,2020-12-26T00:00:00Z
positive,covid,test,158,2020-12-26T00:00:00Z
black,doctor,died,155,2020-12-26T00:00:00Z
covid,vaccine,nyt,154,2020-12-26T00:00:00Z
accusing,hospital,staff,153,2020-12-26T00:00:00Z
covid,covid,covid,152,2020-12-26T00:00:00Z
covid,stimulus,bill,152,2020-12-26T00:00:00Z
14,day,quarantine,151,2020-12-26T00:00:00Z
omnibus,spending,bill,151,2020-12-26T00:00:00Z
chinas,economy,set,149,2020-12-26T00:00:00Z
overtake,us,earlier,148,2020-12-26T00:00:00Z
success,limiting,spread,148,2020-12-26T00:00:00Z
us,earlier,due,148,2020-12-26T00:00:00Z
dont,prevent,covid,147,2020-12-26T00:00:00Z
vaccines,dont,prevent,146,2020-12-26T00:00:00Z
12,26,2020,145,2020-12-26T00:00:00Z
antibody,protection,trialled,145,2020-12-26T00:00:00Z
covid,vaccines,prevent,145,2020-12-26T00:00:00Z
minimize,covid,symptoms,145,2020-12-26T00:00:00Z
theyre,immune,run,145,2020-12-26T00:00:00Z
vaccines,minimize,covid,145,2020-12-26T00:00:00Z
vaccines,prevent,contraction,145,2020-12-26T00:00:00Z
covid,post,exposure,144,2020-12-26T00:00:00Z
covid19,covid19,sarscov2,144,2020-12-26T00:00:00Z
exposure,antibody,protection,144,2020-12-26T00:00:00Z
post,exposure,antibody,144,2020-12-26T00:00:00Z
covid,19,victims,140,2020-12-26T00:00:00Z
shame,covid,happened,137,2020-12-26T00:00:00Z
avoid,covid,19,135,2020-12-26T00:00:00Z
boxing,day,hunts,135,2020-12-26T00:00:00Z
research,stop,misleading,135,2020-12-26T00:00:00Z
19,uk,variant,134,2020-12-26T00:00:00Z
covid,19,aid,133,2020-12-26T00:00:00Z
covid,19,infection,133,2020-12-26T00:00:00Z
dr,john,lee,133,2020-12-26T00:00:00Z
covid,19,safety,130,2020-12-26T00:00:00Z
post,covid,19,130,2020-12-26T00:00:00Z
health,care,worker,127,2020-12-26T00:00:00Z
incometaxindia,nsitharamanoffc,anuragoffice,126,2020-12-26T00:00:00Z
john,lee,free,125,2020-12-26T00:00:00Z
total,covid,19,125,2020-12-26T00:00:00Z
peace,hollywood,remembers,124,2020-12-26T00:00:00Z
aid,bill,remains,123,2020-12-26T00:00:00Z
coronavirus,relief,bill,120,2020-12-26T00:00:00Z
womens,basketball,team,119,2020-12-26T00:00:00Z
uk,covid,19,118,2020-12-26T00:00:00Z
covid,covid19,covid19,117,2020-12-26T00:00:00Z
require,negative,covid,117,2020-12-26T00:00:00Z
20,nigerian,doctors,116,2020-12-26T00:00:00Z
cosmetic,facial,fillers,116,2020-12-26T00:00:00Z
effect,global,economic,116,2020-12-26T00:00:00Z
global,economic,inequality,116,2020-12-26T00:00:00Z
confirmed,covid,19,115,2020-12-26T00:00:00Z
2020,covid,19,114,2020-12-26T00:00:00Z
bank,scams,tax,114,2020-12-26T00:00:00Z
bribe,ppls,concern,114,2020-12-26T00:00:00Z
cabsectindia,govt,mla,114,2020-12-26T00:00:00Z
concern,grievance,ignore,114,2020-12-26T00:00:00Z
corruption,rbi,bank,114,2020-12-26T00:00:00Z
covid,gstcouncil,darpggoi,114,2020-12-26T00:00:00Z
covid,test,results,114,2020-12-26T00:00:00Z
dfsindia,govt,official,114,2020-12-26T00:00:00Z
false,positive,results,114,2020-12-26T00:00:00Z
finminindia,officials,covid,114,2020-12-26T00:00:00Z
govt,mla,mp,114,2020-12-26T00:00:00Z
govt,official,share,114,2020-12-26T00:00:00Z
grievance,ignore,rbi,114,2020-12-26T00:00:00Z
gstcouncil,darpggoi,doptgoi,114,2020-12-26T00:00:00Z
ignore,rbi,vpsecretariat,114,2020-12-26T00:00:00Z
loot,pmoindia,rashtrapatibhvn,114,2020-12-26T00:00:00Z
mla,mp,corruption,114,2020-12-26T00:00:00Z
mp,corruption,rbi,114,2020-12-26T00:00:00Z
mygovindia,secydipam,cabsectindia,114,2020-12-26T00:00:00Z
narendramodi,mygovindia,secydipam,114,2020-12-26T00:00:00Z
official,share,bribe,114,2020-12-26T00:00:00Z
officials,covid,gstcouncil,114,2020-12-26T00:00:00Z
plandemic,agenda21,id2020,114,2020-12-26T00:00:00Z
pmoindia,rashtrapatibhvn,dfsindia,114,2020-12-26T00:00:00Z
ppls,concern,grievance,114,2020-12-26T00:00:00Z
pre,existing,condition,114,2020-12-26T00:00:00Z
rashtrapatibhvn,dfsindia,govt,114,2020-12-26T00:00:00Z
rbi,bank,scams,114,2020-12-26T00:00:00Z
rbi,vpsecretariat,finminindia,114,2020-12-26T00:00:00Z
scams,tax,loot,114,2020-12-26T00:00:00Z
secydipam,cabsectindia,govt,114,2020-12-26T00:00:00Z
share,bribe,ppls,114,2020-12-26T00:00:00Z
tax,loot,pmoindia,114,2020-12-26T00:00:00Z
vpsecretariat,finminindia,officials,114,2020-12-26T00:00:00Z
contagious,covid,strain,113,2020-12-26T00:00:00Z
corona,covid,covid19,113,2020-12-26T00:00:00Z
coronainfoch,corona,covid,112,2020-12-26T00:00:00Z
coronavirus,covid19,coronainfoch,112,2020-12-26T00:00:00Z
covid19,coronainfoch,corona,112,2020-12-26T00:00:00Z
lost,popular,vote,111,2020-12-26T00:00:00Z
sign,covid,bill,111,2020-12-26T00:00:00Z
tel,aviv,research,111,2020-12-26T00:00:00Z
999,recovery,rate,109,2020-12-26T00:00:00Z
2,supreme,court,108,2020-12-26T00:00:00Z
323,lost,popular,108,2020-12-26T00:00:00Z
7m,votes,lost,108,2020-12-26T00:00:00Z
allies,lost,2,108,2020-12-26T00:00:00Z
aviv,research,999,108,2020-12-26T00:00:00Z
college,vote,306,108,2020-12-26T00:00:00Z
electoral,college,vote,108,2020-12-26T00:00:00Z
key,republican,allies,108,2020-12-26T00:00:00Z
lost,2,supreme,108,2020-12-26T00:00:00Z
lost,59,lawsuits,108,2020-12-26T00:00:00Z
lost,electoral,college,108,2020-12-26T00:00:00Z
republican,allies,lost,108,2020-12-26T00:00:00Z
votes,lost,59,108,2020-12-26T00:00:00Z
agenda21,id2020,lockstep,107,2020-12-26T00:00:00Z
covid,19,situation,107,2020-12-26T00:00:00Z
covid,related,deaths,107,2020-12-26T00:00:00Z
flawed,testing,method,107,2020-12-26T00:00:00Z
gov,ron,desantis,107,2020-12-26T00:00:00Z
id2020,lockstep,greatreset,107,2020-12-26T00:00:00Z
lockstep,greatreset,coronavirus,107,2020-12-26T00:00:00Z
positive,results,deaths,107,2020-12-26T00:00:00Z
produces,false,positive,107,2020-12-26T00:00:00Z
rate,plandemic,agenda21,107,2020-12-26T00:00:00Z
recovery,rate,plandemic,107,2020-12-26T00:00:00Z
battling,covid,19,106,2020-12-26T00:00:00Z
christmas,day,message,106,2020-12-26T00:00:00Z
davidkyalom,realdonaldtrump,flotus,106,2020-12-26T00:00:00Z
biontech,covid,19,105,2020-12-26T00:00:00Z
covid,19,20,105,2020-12-26T00:00:00Z
pfizer,biontech,covid,105,2020-12-26T00:00:00Z
extend,due,date,104,2020-12-26T00:00:00Z
trump,barely,mentions,103,2020-12-26T00:00:00Z
relief,bill,lingers,102,2020-12-26T00:00:00Z
995,recovery,rate,101,2020-12-26T00:00:00Z
barely,mentions,covid,101,2020-12-26T00:00:00Z
called,covid,19,101,2020-12-26T00:00:00Z
president,elect,joe,101,2020-12-26T00:00:00Z
perfect,zoom,bookshelf,100,2020-12-26T00:00:00Z
19,pardoned,allies,99,2020-12-26T00:00:00Z
covid,19,pardoned,99,2020-12-26T00:00:00Z
covid,biden,talks,99,2020-12-26T00:00:00Z
mentions,covid,biden,99,2020-12-26T00:00:00Z
official,christmas,day,99,2020-12-26T00:00:00Z
province,wide,lockdown,99,2020-12-26T00:00:00Z
day,message,trump,98,2020-12-26T00:00:00Z
message,trump,barely,98,2020-12-26T00:00:00Z
moderna,coronavirus,vaccine,98,2020-12-26T00:00:00Z
reserve,covid,19,98,2020-12-26T00:00:00Z
elect,joe,biden,97,2020-12-26T00:00:00Z
global,covid,19,97,2020-12-26T00:00:00Z
14,million,americans,96,2020-12-26T00:00:00Z
boxing,day,shopping,96,2020-12-26T00:00:00Z
covid,19,millions,96,2020-12-26T00:00:00Z
negative,coronavirus,test,96,2020-12-26T00:00:00Z
reviewing,death,certificates,96,2020-12-26T00:00:00Z
pandemic,relief,package,95,2020-12-26T00:00:00Z
past,24,hours,95,2020-12-26T00:00:00Z
uk,covid,variant,95,2020-12-26T00:00:00Z
19,relief,package,93,2020-12-26T00:00:00Z
2000,stimulus,checks,93,2020-12-26T00:00:00Z
fight,covid,19,93,2020-12-26T00:00:00Z
people,stay,home,93,2020-12-26T00:00:00Z
19,vaccine,report,92,2020-12-26T00:00:00Z
338263,us,infections,92,2020-12-26T00:00:00Z
deaths,338263,us,92,2020-12-26T00:00:00Z
est,republicans,gop,92,2020-12-26T00:00:00Z
house,covid19,coronavirus,92,2020-12-26T00:00:00Z
republicans,gop,control,92,2020-12-26T00:00:00Z
trump,plays,golf,92,2020-12-26T00:00:00Z
us,deaths,338263,92,2020-12-26T00:00:00Z
us,infections,19210166,92,2020-12-26T00:00:00Z
white,house,covid19,92,2020-12-26T00:00:00Z
zoom,bookshelf,buy,92,2020-12-26T00:00:00Z
biden,pushes,trump,91,2020-12-26T00:00:00Z
government,shutdown,nears,91,2020-12-26T00:00:00Z
ron,desantis,spokesman,91,2020-12-26T00:00:00Z
dr,susan,moore,90,2020-12-26T00:00:00Z
level,4,lockdown,90,2020-12-26T00:00:00Z
900,billion,covid,89,2020-12-26T00:00:00Z
