word1,word2,word3,n,date
covid,19,vaccine,11122,2021-04-01T00:00:00Z
covid,19,pandemic,3286,2021-04-01T00:00:00Z
covid,19,vaccines,2489,2021-04-01T00:00:00Z
covid,19,vaccination,2175,2021-04-01T00:00:00Z
covid,19,epidemic,1577,2021-04-01T00:00:00Z
reached,6600,daily,1537,2021-04-01T00:00:00Z
exams,inside,universities,1487,2021-04-01T00:00:00Z
final,exams,inside,1487,2021-04-01T00:00:00Z
6500,aday,unescosaveus,1450,2021-04-01T00:00:00Z
april,fools,day,1062,2021-04-01T00:00:00Z
april,fools,joke,948,2021-04-01T00:00:00Z
sars,cov,2,677,2021-04-01T00:00:00Z
covid,19,restrictions,653,2021-04-01T00:00:00Z
covid,19,vaccinations,636,2021-04-01T00:00:00Z
covid,19,update,607,2021-04-01T00:00:00Z
johnson,covid,19,556,2021-04-01T00:00:00Z
covid,19,test,509,2021-04-01T00:00:00Z
covid,19,testing,505,2021-04-01T00:00:00Z
covid,19,patients,502,2021-04-01T00:00:00Z
south,african,variant,491,2021-04-01T00:00:00Z
covid,19,deaths,484,2021-04-01T00:00:00Z
availability,riteaid,rite,483,2021-04-01T00:00:00Z
riteaid,rite,aid,483,2021-04-01T00:00:00Z
covid,19,surge,476,2021-04-01T00:00:00Z
covid,19,lockdown,475,2021-04-01T00:00:00Z
pfizer,covid,19,470,2021-04-01T00:00:00Z
15,million,doses,442,2021-04-01T00:00:00Z
april,1,2021,431,2021-04-01T00:00:00Z
covid,19,tests,426,2021-04-01T00:00:00Z
covid,19,protocols,415,2021-04-01T00:00:00Z
vaccine,protection,lasts,412,2021-04-01T00:00:00Z
covid,19,relief,406,2021-04-01T00:00:00Z
covid,19,shot,389,2021-04-01T00:00:00Z
availability,walgreens,walgreen,388,2021-04-01T00:00:00Z
walgreen,drug,store,388,2021-04-01T00:00:00Z
walgreens,walgreen,drug,388,2021-04-01T00:00:00Z
covid,19,variants,357,2021-04-01T00:00:00Z
covid,ー,19,355,2021-04-01T00:00:00Z
amid,covid,19,342,2021-04-01T00:00:00Z
covid,19,response,335,2021-04-01T00:00:00Z
covid,19,infections,326,2021-04-01T00:00:00Z
covid,relief,bill,326,2021-04-01T00:00:00Z
covid,19,diagnosis,325,2021-04-01T00:00:00Z
19,vaccine,protection,318,2021-04-01T00:00:00Z
19,vaccine,doses,313,2021-04-01T00:00:00Z
covid,19,crisis,306,2021-04-01T00:00:00Z
sending,covid,positive,305,2021-04-01T00:00:00Z
canada,sending,covid,300,2021-04-01T00:00:00Z
unescoarabic,iraqi,students,298,2021-04-01T00:00:00Z
assistants,unsung,heroes,296,2021-04-01T00:00:00Z
teaching,assistants,unsung,296,2021-04-01T00:00:00Z
post,covid,19,287,2021-04-01T00:00:00Z
province,wide,lockdown,283,2021-04-01T00:00:00Z
coronavirus,covid,19,277,2021-04-01T00:00:00Z
covid,19,related,277,2021-04-01T00:00:00Z
johnson,covid,vaccine,264,2021-04-01T00:00:00Z
reward,politically,connected,259,2021-04-01T00:00:00Z
negative,covid,test,258,2021-04-01T00:00:00Z
rollout,unacceptably,slow,257,2021-04-01T00:00:00Z
vaccine,rollout,unacceptably,257,2021-04-01T00:00:00Z
covid,19,virus,256,2021-04-01T00:00:00Z
officials,skirted,rules,256,2021-04-01T00:00:00Z
19,vaccine,batch,254,2021-04-01T00:00:00Z
trump,officials,skirted,254,2021-04-01T00:00:00Z
covid,19,community,252,2021-04-01T00:00:00Z
tucker,canada,sending,252,2021-04-01T00:00:00Z
vaccine,batch,fails,247,2021-04-01T00:00:00Z
covid,19,lockdowns,246,2021-04-01T00:00:00Z
world,health,organization,246,2021-04-01T00:00:00Z
astrazeneca,covid,19,241,2021-04-01T00:00:00Z
19,vaccine,rollout,240,2021-04-01T00:00:00Z
covid,vaccine,shot,238,2021-04-01T00:00:00Z
covid,19,infection,236,2021-04-01T00:00:00Z
batch,fails,quality,234,2021-04-01T00:00:00Z
post,pandemic,world,233,2021-04-01T00:00:00Z
covid,19,outbreak,232,2021-04-01T00:00:00Z
fight,covid,19,231,2021-04-01T00:00:00Z
fails,quality,check,226,2021-04-01T00:00:00Z
covid,vaccine,rollout,225,2021-04-01T00:00:00Z
gt,gt,gt,223,2021-04-01T00:00:00Z
covid,19,variant,222,2021-04-01T00:00:00Z
covid,19,guidelines,217,2021-04-01T00:00:00Z
covid,19,positive,213,2021-04-01T00:00:00Z
sarah,palin,reveals,212,2021-04-01T00:00:00Z
europes,vaccine,rollout,211,2021-04-01T00:00:00Z
health,care,workers,210,2021-04-01T00:00:00Z
positive,covid,19,210,2021-04-01T00:00:00Z
covid,vaccine,doses,206,2021-04-01T00:00:00Z
post,covid,world,206,2021-04-01T00:00:00Z
unmas,iraqi,students,204,2021-04-01T00:00:00Z
april,fools,jokes,202,2021-04-01T00:00:00Z
4,week,lockdown,201,2021-04-01T00:00:00Z
apr,6,sign,201,2021-04-01T00:00:00Z
palin,confirms,covid,200,2021-04-01T00:00:00Z
global,pandemic,recovery,199,2021-04-01T00:00:00Z
covid,hospital,patients,197,2021-04-01T00:00:00Z
daily,covid,19,197,2021-04-01T00:00:00Z
health,india,protection,197,2021-04-01T00:00:00Z
hospital,patients,readmitted,197,2021-04-01T00:00:00Z
positive,covid,test,197,2021-04-01T00:00:00Z
countries,fighting,covid19,196,2021-04-01T00:00:00Z
g20org,rishisunak,mefgov,196,2021-04-01T00:00:00Z
india,protection,maskssavelives,196,2021-04-01T00:00:00Z
japangov,secyellen,brunolemaire,196,2021-04-01T00:00:00Z
mefgov,japangov,secyellen,196,2021-04-01T00:00:00Z
palin,reveals,covid,196,2021-04-01T00:00:00Z
poor,countries,fighting,196,2021-04-01T00:00:00Z
protection,maskssavelives,staysafe,196,2021-04-01T00:00:00Z
rishisunak,mefgov,japangov,196,2021-04-01T00:00:00Z
secyellen,brunolemaire,olafscholz,196,2021-04-01T00:00:00Z
indiakiapnipharmacy,pandemic,thursdaythoughts,195,2021-04-01T00:00:00Z
staysafe,indiakiapnipharmacy,pandemic,195,2021-04-01T00:00:00Z
uk,covid,hospital,195,2021-04-01T00:00:00Z
maskssavelives,staysafe,indiakiapnipharmacy,194,2021-04-01T00:00:00Z
news,coronavirus,covid19,193,2021-04-01T00:00:00Z
huge,pandemic,contracts,192,2021-04-01T00:00:00Z
covid,positive,travelers,191,2021-04-01T00:00:00Z
19,diagnosis,urges,190,2021-04-01T00:00:00Z
contract,covid,19,188,2021-04-01T00:00:00Z
march,31,2021,188,2021-04-01T00:00:00Z
19,relief,bill,187,2021-04-01T00:00:00Z
free,covid,19,187,2021-04-01T00:00:00Z
thursday,april,1,187,2021-04-01T00:00:00Z
20,lakh,crore,186,2021-04-01T00:00:00Z
coronavirus,covid19,protests,186,2021-04-01T00:00:00Z
global,pandemic,news,186,2021-04-01T00:00:00Z
pandemic,news,coronavirus,186,2021-04-01T00:00:00Z
premier,doug,ford,186,2021-04-01T00:00:00Z
entire,political,science,185,2021-04-01T00:00:00Z
lakh,crore,covid,185,2021-04-01T00:00:00Z
covid,vaccine,appointment,184,2021-04-01T00:00:00Z
covid,19,protocol,182,2021-04-01T00:00:00Z
weeks,amid,covid,180,2021-04-01T00:00:00Z
covid,19,measures,179,2021-04-01T00:00:00Z
mandatory,hotel,quarantine,179,2021-04-01T00:00:00Z
availabilities,riteaid,cities,177,2021-04-01T00:00:00Z
covid,19,wave,177,2021-04-01T00:00:00Z
updated,data,protective,176,2021-04-01T00:00:00Z
confirmed,covid,19,175,2021-04-01T00:00:00Z
19,community,corps,174,2021-04-01T00:00:00Z
covid,19,shots,170,2021-04-01T00:00:00Z
hitting,emergency,brake,169,2021-04-01T00:00:00Z
19,vaccine,appointments,168,2021-04-01T00:00:00Z
covid,19,issues,168,2021-04-01T00:00:00Z
government,hitting,emergency,168,2021-04-01T00:00:00Z
chinese,communist,party,167,2021-04-01T00:00:00Z
april,fools,prank,166,2021-04-01T00:00:00Z
ford,government,hitting,166,2021-04-01T00:00:00Z
paid,sick,days,166,2021-04-01T00:00:00Z
past,24,hours,166,2021-04-01T00:00:00Z
covid,19,emergency,165,2021-04-01T00:00:00Z
pfizer,covid,vaccine,163,2021-04-01T00:00:00Z
covid,19,spread,162,2021-04-01T00:00:00Z
coronavirus,coronavirusupdate,covid19,161,2021-04-01T00:00:00Z
coronavirusupdate,covid19,coronaviruspandemic,161,2021-04-01T00:00:00Z
covid,19,situation,161,2021-04-01T00:00:00Z
gmt,coronavirus,coronavirusupdate,161,2021-04-01T00:00:00Z
toryboypierce,covid,emmanuelmacron,161,2021-04-01T00:00:00Z
covid,19,hits,160,2021-04-01T00:00:00Z
covid,vaccine,passports,158,2021-04-01T00:00:00Z
home,covid,19,158,2021-04-01T00:00:00Z
covid,19,data,157,2021-04-01T00:00:00Z
biden,launches,community,156,2021-04-01T00:00:00Z
uninvited,peer,reviews,155,2021-04-01T00:00:00Z
covid,19,symptoms,154,2021-04-01T00:00:00Z
wuhan,laboratory,origin,154,2021-04-01T00:00:00Z
19,hits,hard,153,2021-04-01T00:00:00Z
reveals,covid,diagnosis,153,2021-04-01T00:00:00Z
texas,health,commission,153,2021-04-01T00:00:00Z
