word1,word2,word3,n,date
covid,19,vaccine,2793,2021-05-30T00:00:00Z
covid,19,pandemic,1956,2021-05-30T00:00:00Z
covid,19,vaccines,1234,2021-05-30T00:00:00Z
chinese,scientists,created,994,2021-05-30T00:00:00Z
covid,19,vaccination,839,2021-05-30T00:00:00Z
lab,leak,theory,817,2021-05-30T00:00:00Z
scientists,created,covid,740,2021-05-30T00:00:00Z
wuhan,lab,leak,728,2021-05-30T00:00:00Z
explosive,study,claims,573,2021-05-30T00:00:00Z
forcing,civil,servants,562,2021-05-30T00:00:00Z
juntas,vicious,attempt,562,2021-05-30T00:00:00Z
removing,cdm,staff,562,2021-05-30T00:00:00Z
unsuccessful,sac,terrorists,562,2021-05-30T00:00:00Z
pandemic,whatshappeninginmyanmar,may30coup,558,2021-05-30T00:00:00Z
jun,4,sign,505,2021-05-30T00:00:00Z
covid,19,patients,503,2021-05-30T00:00:00Z
sars,cov,2,456,2021-05-30T00:00:00Z
achsn1,mutation,aid,454,2021-05-30T00:00:00Z
aid,virus,transmission,454,2021-05-30T00:00:00Z
avian,influenza,virus,454,2021-05-30T00:00:00Z
chikungunya,virus,mutation,454,2021-05-30T00:00:00Z
influenza,virus,achsn1,454,2021-05-30T00:00:00Z
mutation,aid,virus,454,2021-05-30T00:00:00Z
vaccination,strategy,wise,454,2021-05-30T00:00:00Z
virus,achsn1,mutation,454,2021-05-30T00:00:00Z
virus,mutation,e1a226v,454,2021-05-30T00:00:00Z
yangons,basic,class,453,2021-05-30T00:00:00Z
basic,class,ppl,451,2021-05-30T00:00:00Z
credible,natural,ancestor,443,2021-05-30T00:00:00Z
memorial,day,weekend,436,2021-05-30T00:00:00Z
claims,chinese,scientists,412,2021-05-30T00:00:00Z
study,claims,chinese,412,2021-05-30T00:00:00Z
till,june,7,394,2021-05-30T00:00:00Z
covid,19,deaths,393,2021-05-30T00:00:00Z
prove,chinese,scientists,391,2021-05-30T00:00:00Z
covid,19,restrictions,381,2021-05-30T00:00:00Z
covid,19,complications,375,2021-05-30T00:00:00Z
jun,3,sign,364,2021-05-30T00:00:00Z
created,covid,19,356,2021-05-30T00:00:00Z
lockdown,till,june,351,2021-05-30T00:00:00Z
sheriffs,deputy,dies,329,2021-05-30T00:00:00Z
anti,vaxxer,sheriffs,323,2021-05-30T00:00:00Z
gun,buying,spiked,323,2021-05-30T00:00:00Z
vaxxer,sheriffs,deputy,323,2021-05-30T00:00:00Z
19,complications,shortly,316,2021-05-30T00:00:00Z
covid,19,origin,306,2021-05-30T00:00:00Z
superspreader,festival,seeded,305,2021-05-30T00:00:00Z
america,gun,buying,304,2021-05-30T00:00:00Z
festival,seeded,covid,303,2021-05-30T00:00:00Z
covid,19,virus,302,2021-05-30T00:00:00Z
covid,19,vaccinations,295,2021-05-30T00:00:00Z
joined,covid,duties,290,2021-05-30T00:00:00Z
president,cyril,ramaphosa,290,2021-05-30T00:00:00Z
covid,19,outbreak,273,2021-05-30T00:00:00Z
