word1,word2,word3,n,date
covid,19,vaccine,5014,2021-10-06T00:00:00Z
covid,19,pandemic,2169,2021-10-06T00:00:00Z
covid,19,vaccination,1740,2021-10-06T00:00:00Z
covid,19,vaccines,1364,2021-10-06T00:00:00Z
restrict,lisas,activities,805,2021-10-06T00:00:00Z
jobs,hey,mf,786,2021-10-06T00:00:00Z
rus,huh,justice,744,2021-10-06T00:00:00Z
covid,19,deaths,735,2021-10-06T00:00:00Z
breaking,pfizer,scientists,670,2021-10-06T00:00:00Z
covid,money,exposepfizer,666,2021-10-06T00:00:00Z
pfizer,vaccination,were,658,2021-10-06T00:00:00Z
sars,cov,2,532,2021-10-06T00:00:00Z
covid19,coronavirus,covid19,473,2021-10-06T00:00:00Z
coviddata,smcanalytics,covid19,472,2021-10-06T00:00:00Z
covidvislualizations,coviddata,smcanalytics,472,2021-10-06T00:00:00Z
smcanalytics,covid19,coronavirus,472,2021-10-06T00:00:00Z
usafacts,covidvislualizations,coviddata,472,2021-10-06T00:00:00Z
covid,19,testing,456,2021-10-06T00:00:00Z
2021,10,01,404,2021-10-06T00:00:00Z
01,covid,visualizations,399,2021-10-06T00:00:00Z
10,01,covid,399,2021-10-06T00:00:00Z
negative,covid,test,372,2021-10-06T00:00:00Z
covid,19,test,370,2021-10-06T00:00:00Z
covid,19,update,367,2021-10-06T00:00:00Z
moderna,covid,19,362,2021-10-06T00:00:00Z
health,care,workers,355,2021-10-06T00:00:00Z
covid,19,booster,350,2021-10-06T00:00:00Z
covid,19,patients,347,2021-10-06T00:00:00Z
covid,19,infections,321,2021-10-06T00:00:00Z
covid,19,vaccinations,305,2021-10-06T00:00:00Z
covid,19,tests,298,2021-10-06T00:00:00Z
moderna,covid,vaccine,296,2021-10-06T00:00:00Z
19,vaccine,mandate,274,2021-10-06T00:00:00Z
financed,covid,pill,264,2021-10-06T00:00:00Z
covid,vaccine,mandate,226,2021-10-06T00:00:00Z
covid,19,related,225,2021-10-06T00:00:00Z
activity,anymore,due,222,2021-10-06T00:00:00Z
covid,19,restrictions,214,2021-10-06T00:00:00Z
covid,19,crisis,212,2021-10-06T00:00:00Z
lockdown,amid,reports,208,2021-10-06T00:00:00Z
7,day,covid,207,2021-10-06T00:00:00Z
day,covid,growth,204,2021-10-06T00:00:00Z
sweden,denmark,pause,201,2021-10-06T00:00:00Z
federally,financed,covid,200,2021-10-06T00:00:00Z
covid,toe,condition,199,2021-10-06T00:00:00Z
post,covid,19,193,2021-10-06T00:00:00Z
covid,19,infection,192,2021-10-06T00:00:00Z
october,6,2021,191,2021-10-06T00:00:00Z
covid,19,outbreak,185,2021-10-06T00:00:00Z
covid,19,response,185,2021-10-06T00:00:00Z
covid,19,relief,182,2021-10-06T00:00:00Z
pfizer,covid,19,182,2021-10-06T00:00:00Z
covid,19,hoax,181,2021-10-06T00:00:00Z
modernas,covid,19,180,2021-10-06T00:00:00Z
home,covid,19,178,2021-10-06T00:00:00Z
covid,19,death,175,2021-10-06T00:00:00Z
false,positive,results,173,2021-10-06T00:00:00Z
covid,19,outbreaks,172,2021-10-06T00:00:00Z
covid,19,aid,170,2021-10-06T00:00:00Z
200000,covid,19,169,2021-10-06T00:00:00Z
underlying,health,conditions,169,2021-10-06T00:00:00Z
home,covid,tests,167,2021-10-06T00:00:00Z
post,pandemic,world,167,2021-10-06T00:00:00Z
covid,19,pill,166,2021-10-06T00:00:00Z
drone,ferries,covid,165,2021-10-06T00:00:00Z
denmark,pause,moderna,164,2021-10-06T00:00:00Z
ferries,covid,vaccines,164,2021-10-06T00:00:00Z
covid,19,shot,162,2021-10-06T00:00:00Z
pause,moderna,covid,162,2021-10-06T00:00:00Z
active,shooter,situation,161,2021-10-06T00:00:00Z
india,drone,ferries,160,2021-10-06T00:00:00Z
health,care,system,158,2021-10-06T00:00:00Z
covid,19,rapid,157,2021-10-06T00:00:00Z
mandatory,covid,19,157,2021-10-06T00:00:00Z
covid,19,virus,155,2021-10-06T00:00:00Z
covid,19,treatment,152,2021-10-06T00:00:00Z
modernas,covid,vaccine,147,2021-10-06T00:00:00Z
sportscenter,wojespn,windhorstespn,146,2021-10-06T00:00:00Z
merck,sells,federally,145,2021-10-06T00:00:00Z
covid,booster,shot,144,2021-10-06T00:00:00Z
sells,federally,financed,144,2021-10-06T00:00:00Z
6,10,2021,142,2021-10-06T00:00:00Z
rapid,covid,19,142,2021-10-06T00:00:00Z
artists,recent,abroad,140,2021-10-06T00:00:00Z
free,covid,19,140,2021-10-06T00:00:00Z
recent,abroad,activities,140,2021-10-06T00:00:00Z
companys,covid,restriction,139,2021-10-06T00:00:00Z
covid,19,delta,138,2021-10-06T00:00:00Z
los,angeles,city,138,2021-10-06T00:00:00Z
schools,steer,funding,138,2021-10-06T00:00:00Z
19,vaccine,booster,137,2021-10-06T00:00:00Z
positive,covid,test,137,2021-10-06T00:00:00Z
aid,schools,steer,133,2021-10-06T00:00:00Z
angeles,city,council,132,2021-10-06T00:00:00Z
coronavirus,coronavirusupdate,covid19,132,2021-10-06T00:00:00Z
coronavirusupdate,covid19,coronaviruspandemic,132,2021-10-06T00:00:00Z
covid,relief,funds,132,2021-10-06T00:00:00Z
gmt,coronavirus,coronavirusupdate,132,2021-10-06T00:00:00Z
school,shooting,injures,131,2021-10-06T00:00:00Z
daily,covid,19,130,2021-10-06T00:00:00Z
blames,staffing,shortages,128,2021-10-06T00:00:00Z
covid,vaccine,mandates,128,2021-10-06T00:00:00Z
health,blames,staffing,128,2021-10-06T00:00:00Z
public,health,blames,128,2021-10-06T00:00:00Z
shortages,turnover,training,128,2021-10-06T00:00:00Z
staffing,shortages,turnover,128,2021-10-06T00:00:00Z
covid19,6,10,127,2021-10-06T00:00:00Z
gt,gt,gt,127,2021-10-06T00:00:00Z
info,covid19,6,127,2021-10-06T00:00:00Z
19,aid,schools,126,2021-10-06T00:00:00Z
covid,19,live,125,2021-10-06T00:00:00Z
covid,19,shots,125,2021-10-06T00:00:00Z
