word1,word2,word3,n,date
coronavirus,death,toll,1449,2020-02-11T00:00:00Z
world,health,organization,1070,2020-02-11T00:00:00Z
named,covid,19,556,2020-02-11T00:00:00Z
death,toll,hits,544,2020-02-11T00:00:00Z
coronavirus,live,updates,538,2020-02-11T00:00:00Z
coronavirus,covid,19,527,2020-02-11T00:00:00Z
coronavirus,2019,ncov,509,2020-02-11T00:00:00Z
toll,hits,1000,489,2020-02-11T00:00:00Z
senior,chinese,officials,466,2020-02-11T00:00:00Z
chinese,officials,removed,454,2020-02-11T00:00:00Z
coronavirus,senior,chinese,453,2020-02-11T00:00:00Z
amid,coronavirus,outbreak,430,2020-02-11T00:00:00Z
bbc,news,coronavirus,429,2020-02-11T00:00:00Z
death,toll,tops,414,2020-02-11T00:00:00Z
mobile,world,congress,412,2020-02-11T00:00:00Z
coronavirus,super,spreader,395,2020-02-11T00:00:00Z
death,toll,surpasses,390,2020-02-11T00:00:00Z
toll,surpasses,1000,384,2020-02-11T00:00:00Z
toll,tops,1000,353,2020-02-11T00:00:00Z
death,toll,passes,292,2020-02-11T00:00:00Z
toll,passes,1000,280,2020-02-11T00:00:00Z
amid,coronavirus,fears,255,2020-02-11T00:00:00Z
deaths,pass,1000,240,2020-02-11T00:00:00Z
coronavirus,expert,warns,217,2020-02-11T00:00:00Z
officially,named,covid,208,2020-02-11T00:00:00Z
world,health,organisation,206,2020-02-11T00:00:00Z
american,coronavirus,evacuees,200,2020-02-11T00:00:00Z
inflated,stock,valuations,198,2020-02-11T00:00:00Z
january,ameripriseresearch,believes,198,2020-02-11T00:00:00Z
mitigate,risk,let’s,198,2020-02-11T00:00:00Z
risk,let’s,connect,198,2020-02-11T00:00:00Z
coronavirus,evacuees,released,190,2020-02-11T00:00:00Z
death,toll,surges,188,2020-02-11T00:00:00Z
uk,businessman,linked,176,2020-02-11T00:00:00Z
diamond,princess,cruise,174,2020-02-11T00:00:00Z
called,covid,19,173,2020-02-11T00:00:00Z
whowpro,whosearo,whoeurope,164,2020-02-11T00:00:00Z
coronavirus,officially,named,160,2020-02-11T00:00:00Z
