word1,word2,n,date
covid,19,58249,2021-06-04T00:00:00Z
covid,vaccine,6311,2021-06-04T00:00:00Z
wuhan,lab,5463,2021-06-04T00:00:00Z
19,vaccine,5180,2021-06-04T00:00:00Z
lab,leak,3139,2021-06-04T00:00:00Z
19,pandemic,2812,2021-06-04T00:00:00Z
post,pandemic,2283,2021-06-04T00:00:00Z
post,covid,2168,2021-06-04T00:00:00Z
global,pandemic,2149,2021-06-04T00:00:00Z
19,vaccines,2041,2021-06-04T00:00:00Z
whatshappeninginmyanmar,june4coup,2000,2021-06-04T00:00:00Z
covid,vaccines,1808,2021-06-04T00:00:00Z
dr,fauci,1767,2021-06-04T00:00:00Z
covid,deaths,1712,2021-06-04T00:00:00Z
delta,variant,1652,2021-06-04T00:00:00Z
public,health,1644,2021-06-04T00:00:00Z
covid,test,1577,2021-06-04T00:00:00Z
19,vaccination,1554,2021-06-04T00:00:00Z
covid,restrictions,1537,2021-06-04T00:00:00Z
mental,health,1473,2021-06-04T00:00:00Z
leak,theory,1415,2021-06-04T00:00:00Z
covid,warriors,1284,2021-06-04T00:00:00Z
covid,shot,1221,2021-06-04T00:00:00Z
covid,patients,1209,2021-06-04T00:00:00Z
covid,vaccination,1147,2021-06-04T00:00:00Z
covid,duties,1140,2021-06-04T00:00:00Z
covid,pandemic,1116,2021-06-04T00:00:00Z
social,distancing,1038,2021-06-04T00:00:00Z
hotel,quarantine,1019,2021-06-04T00:00:00Z
covid19,pandemic,977,2021-06-04T00:00:00Z
vaccine,appointments,970,2021-06-04T00:00:00Z
coronavirus,pandemic,911,2021-06-04T00:00:00Z
tested,positive,876,2021-06-04T00:00:00Z
1,2,867,2021-06-04T00:00:00Z
covid,crisis,847,2021-06-04T00:00:00Z
covid,relief,825,2021-06-04T00:00:00Z
june,4,822,2021-06-04T00:00:00Z
mission,impossible,822,2021-06-04T00:00:00Z
mohfw,india,811,2021-06-04T00:00:00Z
boris,johnson,810,2021-06-04T00:00:00Z
