word1,word2,n,date
covid,19,26017,2021-11-21T00:00:00Z
covid,vaccine,3502,2021-11-21T00:00:00Z
19,vaccine,2254,2021-11-21T00:00:00Z
covid,deaths,1883,2021-11-21T00:00:00Z
covid,vaccines,1633,2021-11-21T00:00:00Z
covid,test,1608,2021-11-21T00:00:00Z
covid,booster,1227,2021-11-21T00:00:00Z
bts,lockdown,1057,2021-11-21T00:00:00Z
covid,restrictions,939,2021-11-21T00:00:00Z
19,vaccines,931,2021-11-21T00:00:00Z
public,health,920,2021-11-21T00:00:00Z
vaccine,mandates,913,2021-11-21T00:00:00Z
19,pandemic,853,2021-11-21T00:00:00Z
post,covid,850,2021-11-21T00:00:00Z
natural,immunity,795,2021-11-21T00:00:00Z
covid,patients,783,2021-11-21T00:00:00Z
19,deaths,781,2021-11-21T00:00:00Z
19,vaccination,779,2021-11-21T00:00:00Z
tested,positive,725,2021-11-21T00:00:00Z
covid,death,712,2021-11-21T00:00:00Z
global,pandemic,655,2021-11-21T00:00:00Z
vaccinated,people,632,2021-11-21T00:00:00Z
anti,lockdown,623,2021-11-21T00:00:00Z
vaccine,mandate,575,2021-11-21T00:00:00Z
catch,covid,564,2021-11-21T00:00:00Z
mental,health,564,2021-11-21T00:00:00Z
booster,shot,534,2021-11-21T00:00:00Z
immune,system,530,2021-11-21T00:00:00Z
covid,vaccination,529,2021-11-21T00:00:00Z
mrna,covid,518,2021-11-21T00:00:00Z
anti,vax,504,2021-11-21T00:00:00Z
booster,shots,502,2021-11-21T00:00:00Z
covid,vax,501,2021-11-21T00:00:00Z
caught,covid,490,2021-11-21T00:00:00Z
racial,bias,480,2021-11-21T00:00:00Z
spread,covid,475,2021-11-21T00:00:00Z
covid,related,464,2021-11-21T00:00:00Z
19,booster,462,2021-11-21T00:00:00Z
post,pandemic,460,2021-11-21T00:00:00Z
covid,shot,457,2021-11-21T00:00:00Z
flu,shot,451,2021-11-21T00:00:00Z
spreading,covid,444,2021-11-21T00:00:00Z
covid,pandemic,443,2021-11-21T00:00:00Z
disney,world,441,2021-11-21T00:00:00Z
health,care,438,2021-11-21T00:00:00Z
catching,covid,432,2021-11-21T00:00:00Z
wearing,masks,426,2021-11-21T00:00:00Z
covid,virus,422,2021-11-21T00:00:00Z
6,months,417,2021-11-21T00:00:00Z
pre,covid,414,2021-11-21T00:00:00Z
covid,tests,411,2021-11-21T00:00:00Z
anti,vaxxers,408,2021-11-21T00:00:00Z
climate,change,406,2021-11-21T00:00:00Z
acs,risk,402,2021-11-21T00:00:00Z
covid,infection,402,2021-11-21T00:00:00Z
25,cycle,399,2021-11-21T00:00:00Z
24,hours,396,2021-11-21T00:00:00Z
robinlarder,realbeeologist,396,2021-11-21T00:00:00Z
sniemn,barbaragirouard,396,2021-11-21T00:00:00Z
covid,surge,392,2021-11-21T00:00:00Z
covid,jab,387,2021-11-21T00:00:00Z
rockandroll432,massimassian,387,2021-11-21T00:00:00Z
coronavirus,covid,385,2021-11-21T00:00:00Z
rln,nelson,385,2021-11-21T00:00:00Z
unvaccinated,people,385,2021-11-21T00:00:00Z
pandemic,started,384,2021-11-21T00:00:00Z
shinedown1911,priscian,382,2021-11-21T00:00:00Z
gordon,dhg,379,2021-11-21T00:00:00Z
jaisans,extinct55021670,376,2021-11-21T00:00:00Z
anti,covid,375,2021-11-21T00:00:00Z
davejohn0175,thedisproof,373,2021-11-21T00:00:00Z
thedisproof,rvrs,373,2021-11-21T00:00:00Z
1,2,371,2021-11-21T00:00:00Z
average,age,371,2021-11-21T00:00:00Z
sajid,javid,370,2021-11-21T00:00:00Z
wear,masks,367,2021-11-21T00:00:00Z
covid19,coronavirus,361,2021-11-21T00:00:00Z
covid,protocols,357,2021-11-21T00:00:00Z
covid,measures,355,2021-11-21T00:00:00Z
covid,parent,355,2021-11-21T00:00:00Z
covid,infections,349,2021-11-21T00:00:00Z
stay,home,349,2021-11-21T00:00:00Z
2,weeks,347,2021-11-21T00:00:00Z
delta,variant,347,2021-11-21T00:00:00Z
dutch,police,344,2021-11-21T00:00:00Z
ericwil06256732,narvuntien,343,2021-11-21T00:00:00Z
covid,crisis,341,2021-11-21T00:00:00Z
19,restrictions,338,2021-11-21T00:00:00Z
massimassian,davejohn0175,336,2021-11-21T00:00:00Z
covid,positive,333,2021-11-21T00:00:00Z
million,people,333,2021-11-21T00:00:00Z
covid,tyranny,332,2021-11-21T00:00:00Z
covid,outbreak,330,2021-11-21T00:00:00Z
covid,pass,330,2021-11-21T00:00:00Z
dramatically,increase,329,2021-11-21T00:00:00Z
inflammatory,markers,327,2021-11-21T00:00:00Z
endothelial,inflammatory,325,2021-11-21T00:00:00Z
barbaragirouard,rln,324,2021-11-21T00:00:00Z
increase,endothelial,323,2021-11-21T00:00:00Z
vaccines,dramatically,323,2021-11-21T00:00:00Z
boeing74,organicdot,318,2021-11-21T00:00:00Z
bridgetholmstro,rockandroll432,318,2021-11-21T00:00:00Z
bubbasranch,keithamccluskey,318,2021-11-21T00:00:00Z
covid,wave,318,2021-11-21T00:00:00Z
deaths,data,318,2021-11-21T00:00:00Z
fillmorewhite,robinlarder,318,2021-11-21T00:00:00Z
oakden,wolf,318,2021-11-21T00:00:00Z
organicdot,oakden,318,2021-11-21T00:00:00Z
iandjbrown2,ingersolrobert,317,2021-11-21T00:00:00Z
narvuntien,dan613,314,2021-11-21T00:00:00Z
dan613,boeing74,313,2021-11-21T00:00:00Z
death,toll,312,2021-11-21T00:00:00Z
wuhan,lab,311,2021-11-21T00:00:00Z
covid,lockdown,310,2021-11-21T00:00:00Z
covid,response,310,2021-11-21T00:00:00Z
robmeekel,25,310,2021-11-21T00:00:00Z
kenneth72712993,halbrow68884227,308,2021-11-21T00:00:00Z
priscian,fillmorewhite,307,2021-11-21T00:00:00Z
2021,11,306,2021-11-21T00:00:00Z
covid,symptoms,306,2021-11-21T00:00:00Z
canadianworker2,iandjbrown2,305,2021-11-21T00:00:00Z
covid,isn,305,2021-11-21T00:00:00Z
social,distancing,304,2021-11-21T00:00:00Z
covid,passports,301,2021-11-21T00:00:00Z
covid,protests,301,2021-11-21T00:00:00Z
