word1,word2,n,date
covid,19,84860,2020-10-24T00:00:00Z
covid,covid,4518,2020-10-24T00:00:00Z
19,palliatives,4232,2020-10-24T00:00:00Z
global,pandemic,3612,2020-10-24T00:00:00Z
covid,deaths,3521,2020-10-24T00:00:00Z
donald,trump,2944,2020-10-24T00:00:00Z
19,pandemic,2833,2020-10-24T00:00:00Z
tested,positive,2479,2020-10-24T00:00:00Z
social,distancing,2476,2020-10-24T00:00:00Z
covid,test,2302,2020-10-24T00:00:00Z
19,palliative,2252,2020-10-24T00:00:00Z
single,day,2215,2020-10-24T00:00:00Z
joe,biden,2094,2020-10-24T00:00:00Z
public,health,2036,2020-10-24T00:00:00Z
super,spreader,1884,2020-10-24T00:00:00Z
coronavirus,pandemic,1858,2020-10-24T00:00:00Z
white,house,1741,2020-10-24T00:00:00Z
mental,health,1667,2020-10-24T00:00:00Z
19,vaccine,1658,2020-10-24T00:00:00Z
covid,relief,1641,2020-10-24T00:00:00Z
wearing,masks,1632,2020-10-24T00:00:00Z
covid,patients,1592,2020-10-24T00:00:00Z
wear,masks,1590,2020-10-24T00:00:00Z
83,000,1579,2020-10-24T00:00:00Z
herd,immunity,1538,2020-10-24T00:00:00Z
post,covid,1503,2020-10-24T00:00:00Z
health,care,1498,2020-10-24T00:00:00Z
19,deaths,1484,2020-10-24T00:00:00Z
task,force,1467,2020-10-24T00:00:00Z
covid,vaccine,1441,2020-10-24T00:00:00Z
anti,lockdown,1403,2020-10-24T00:00:00Z
2,weeks,1390,2020-10-24T00:00:00Z
rosie,wearamask,1347,2020-10-24T00:00:00Z
pandemic,response,1286,2020-10-24T00:00:00Z
80,000,1272,2020-10-24T00:00:00Z
covid,death,1204,2020-10-24T00:00:00Z
president,trump,1199,2020-10-24T00:00:00Z
covid,response,1173,2020-10-24T00:00:00Z
stay,safe,1152,2020-10-24T00:00:00Z
daily,covid,1151,2020-10-24T00:00:00Z
american,people,1134,2020-10-24T00:00:00Z
essential,items,1114,2020-10-24T00:00:00Z
mask,wearing,1112,2020-10-24T00:00:00Z
covid,restrictions,1110,2020-10-24T00:00:00Z
220,000,1108,2020-10-24T00:00:00Z
death,toll,1108,2020-10-24T00:00:00Z
covid,plan,1083,2020-10-24T00:00:00Z
