word1,word2,n,date
covid,19,42878,2021-10-11T00:00:00Z
covid,vaccine,4760,2021-10-11T00:00:00Z
19,vaccine,3739,2021-10-11T00:00:00Z
covid,deaths,2209,2021-10-11T00:00:00Z
19,pandemic,1884,2021-10-11T00:00:00Z
covid,test,1883,2021-10-11T00:00:00Z
natural,immunity,1838,2021-10-11T00:00:00Z
mental,health,1608,2021-10-11T00:00:00Z
covid,vaccines,1568,2021-10-11T00:00:00Z
global,pandemic,1503,2021-10-11T00:00:00Z
19,vaccines,1496,2021-10-11T00:00:00Z
public,health,1408,2021-10-11T00:00:00Z
covid,patients,1321,2021-10-11T00:00:00Z
post,covid,1268,2021-10-11T00:00:00Z
vaccine,mandates,1214,2021-10-11T00:00:00Z
pregnant,women,1139,2021-10-11T00:00:00Z
vaccinated,people,1105,2021-10-11T00:00:00Z
covid,pill,1088,2021-10-11T00:00:00Z
19,vaccination,1064,2021-10-11T00:00:00Z
anti,covid,1034,2021-10-11T00:00:00Z
treat,covid,1025,2021-10-11T00:00:00Z
vaccine,mandate,1002,2021-10-11T00:00:00Z
covid,outbreak,980,2021-10-11T00:00:00Z
post,pandemic,951,2021-10-11T00:00:00Z
tested,positive,886,2021-10-11T00:00:00Z
covid,vaccination,867,2021-10-11T00:00:00Z
spread,covid,865,2021-10-11T00:00:00Z
catch,covid,839,2021-10-11T00:00:00Z
coronavirus,covid,817,2021-10-11T00:00:00Z
covid19,coronavirus,802,2021-10-11T00:00:00Z
covid,death,778,2021-10-11T00:00:00Z
allen,west,775,2021-10-11T00:00:00Z
iloveethiopianairlines,unityforethiopia,766,2021-10-11T00:00:00Z
unityforethiopia,sanctioniswrong,766,2021-10-11T00:00:00Z
covid,restrictions,763,2021-10-11T00:00:00Z
anti,vaxxers,749,2021-10-11T00:00:00Z
2021,10,746,2021-10-11T00:00:00Z
health,care,740,2021-10-11T00:00:00Z
covid,positive,735,2021-10-11T00:00:00Z
anti,vax,731,2021-10-11T00:00:00Z
covid,booster,731,2021-10-11T00:00:00Z
severe,covid,730,2021-10-11T00:00:00Z
traditional,medicine,726,2021-10-11T00:00:00Z
khin,nyein,724,2021-10-11T00:00:00Z
ma,khin,724,2021-10-11T00:00:00Z
nyein,lwin,724,2021-10-11T00:00:00Z
ayadaw,tsp,719,2021-10-11T00:00:00Z
oct11coup,whatshappeninginmyanmar,712,2021-10-11T00:00:00Z
southwest,airlines,711,2021-10-11T00:00:00Z
unfetteredaccessforaids,oct11coup,706,2021-10-11T00:00:00Z
active,volunteer,703,2021-10-11T00:00:00Z
graduate,student,699,2021-10-11T00:00:00Z
3,ayadaw,698,2021-10-11T00:00:00Z
ward,3,698,2021-10-11T00:00:00Z
forcibly,abducted,697,2021-10-11T00:00:00Z
medicine,ma,697,2021-10-11T00:00:00Z
outbreak,unfetteredaccessforaids,696,2021-10-11T00:00:00Z
sac,troops,694,2021-10-11T00:00:00Z
covid,related,669,2021-10-11T00:00:00Z
10,08,668,2021-10-11T00:00:00Z
caught,covid,668,2021-10-11T00:00:00Z
immune,system,666,2021-10-11T00:00:00Z
covid,vax,665,2021-10-11T00:00:00Z
