word1,word2,n,date
covid,19,53597,2020-12-26T00:00:00Z
covid,relief,7086,2020-12-26T00:00:00Z
covid,vaccine,4604,2020-12-26T00:00:00Z
relief,bill,4322,2020-12-26T00:00:00Z
19,vaccine,3451,2020-12-26T00:00:00Z
covid,test,2546,2020-12-26T00:00:00Z
boxing,day,2493,2020-12-26T00:00:00Z
covid,deaths,2265,2020-12-26T00:00:00Z
merry,christmas,2223,2020-12-26T00:00:00Z
tested,positive,2100,2020-12-26T00:00:00Z
19,pandemic,1974,2020-12-26T00:00:00Z
global,pandemic,1928,2020-12-26T00:00:00Z
christmas,day,1763,2020-12-26T00:00:00Z
covid,patients,1528,2020-12-26T00:00:00Z
covid,bill,1383,2020-12-26T00:00:00Z
social,distancing,1360,2020-12-26T00:00:00Z
tier,4,1351,2020-12-26T00:00:00Z
2,000,1275,2020-12-26T00:00:00Z
coronavirus,variant,1245,2020-12-26T00:00:00Z
post,covid,1216,2020-12-26T00:00:00Z
stay,home,1194,2020-12-26T00:00:00Z
19,vaccines,1175,2020-12-26T00:00:00Z
allergic,reaction,1168,2020-12-26T00:00:00Z
coronavirus,pandemic,1165,2020-12-26T00:00:00Z
american,people,1150,2020-12-26T00:00:00Z
stay,safe,1127,2020-12-26T00:00:00Z
public,health,1107,2020-12-26T00:00:00Z
coronavirus,vaccine,1070,2020-12-26T00:00:00Z
covid,restrictions,1058,2020-12-26T00:00:00Z
19,relief,1049,2020-12-26T00:00:00Z
mental,health,990,2020-12-26T00:00:00Z
donald,trump,945,2020-12-26T00:00:00Z
covid,death,938,2020-12-26T00:00:00Z
health,care,897,2020-12-26T00:00:00Z
covid,free,885,2020-12-26T00:00:00Z
covid,vaccines,880,2020-12-26T00:00:00Z
covid,christmas,871,2020-12-26T00:00:00Z
covid,related,833,2020-12-26T00:00:00Z
covid,strain,745,2020-12-26T00:00:00Z
social,media,741,2020-12-26T00:00:00Z
moderna,covid,733,2020-12-26T00:00:00Z
relief,package,728,2020-12-26T00:00:00Z
2,weeks,708,2020-12-26T00:00:00Z
19,variant,706,2020-12-26T00:00:00Z
severe,allergic,701,2020-12-26T00:00:00Z
