word1,word2,n,date
covid,19,77941,2020-11-07T00:00:00Z
white,house,11067,2020-11-07T00:00:00Z
mark,meadows,9957,2020-11-07T00:00:00Z
tested,positive,5873,2020-11-07T00:00:00Z
joe,biden,5180,2020-11-07T00:00:00Z
covid,covid,5037,2020-11-07T00:00:00Z
global,pandemic,4289,2020-11-07T00:00:00Z
realdonaldtrump,eveningedit,3871,2020-11-07T00:00:00Z
staff,mark,3800,2020-11-07T00:00:00Z
social,distancing,3770,2020-11-07T00:00:00Z
lockdown,2,3437,2020-11-07T00:00:00Z
covid,test,3317,2020-11-07T00:00:00Z
tests,positive,3204,2020-11-07T00:00:00Z
donald,trump,3136,2020-11-07T00:00:00Z
covid,deaths,2956,2020-11-07T00:00:00Z
task,force,2921,2020-11-07T00:00:00Z
super,spreader,2901,2020-11-07T00:00:00Z
kayleighmcenany,joebiden,2871,2020-11-07T00:00:00Z
house,chief,2682,2020-11-07T00:00:00Z
president,elect,2668,2020-11-07T00:00:00Z
19,pandemic,2641,2020-11-07T00:00:00Z
erictrump,realdonaldtrump,2631,2020-11-07T00:00:00Z
stay,safe,2421,2020-11-07T00:00:00Z
climate,change,2379,2020-11-07T00:00:00Z
joebiden,kamalaharris,2294,2020-11-07T00:00:00Z
wearing,masks,2278,2020-11-07T00:00:00Z
election,day,2277,2020-11-07T00:00:00Z
biden,won,2041,2020-11-07T00:00:00Z
matt,gaetz,1993,2020-11-07T00:00:00Z
paulsperry,realdonaldtrump,1910,2020-11-07T00:00:00Z
american,people,1803,2020-11-07T00:00:00Z
covid,response,1719,2020-11-07T00:00:00Z
trump,supporters,1698,2020-11-07T00:00:00Z
public,health,1615,2020-11-07T00:00:00Z
meadows,tests,1591,2020-11-07T00:00:00Z
wear,masks,1584,2020-11-07T00:00:00Z
coronavirus,pandemic,1553,2020-11-07T00:00:00Z
rosie,wearamask,1517,2020-11-07T00:00:00Z
covid,relief,1477,2020-11-07T00:00:00Z
mental,health,1456,2020-11-07T00:00:00Z
2020,experience,1431,2020-11-07T00:00:00Z
post,covid,1431,2020-11-07T00:00:00Z
pandemic,response,1430,2020-11-07T00:00:00Z
2,0,1427,2020-11-07T00:00:00Z
