word1,n,date
covid,202201,2020-11-04T00:00:00Z
pandemic,115400,2020-11-04T00:00:00Z
lockdown,108134,2020-11-04T00:00:00Z
covid19,79571,2020-11-04T00:00:00Z
,73482,2020-11-04T00:00:00Z
people,64730,2020-11-04T00:00:00Z
trump,47663,2020-11-04T00:00:00Z
coronavirus,35775,2020-11-04T00:00:00Z
dont,33512,2020-11-04T00:00:00Z
im,30704,2020-11-04T00:00:00Z
election,29173,2020-11-04T00:00:00Z
vote,24690,2020-11-04T00:00:00Z
time,24169,2020-11-04T00:00:00Z
biden,21632,2020-11-04T00:00:00Z
day,20552,2020-11-04T00:00:00Z
mail,20531,2020-11-04T00:00:00Z
realdonaldtrump,18587,2020-11-04T00:00:00Z
due,17518,2020-11-04T00:00:00Z
deaths,17458,2020-11-04T00:00:00Z
votes,16802,2020-11-04T00:00:00Z
ballots,14939,2020-11-04T00:00:00Z
health,14746,2020-11-04T00:00:00Z
country,14161,2020-11-04T00:00:00Z
voted,13914,2020-11-04T00:00:00Z
2,13901,2020-11-04T00:00:00Z
didnt,13782,2020-11-04T00:00:00Z
quarantine,13586,2020-11-04T00:00:00Z
voting,12640,2020-11-04T00:00:00Z
care,12148,2020-11-04T00:00:00Z
home,11925,2020-11-04T00:00:00Z
4,10775,2020-11-04T00:00:00Z
virus,10526,2020-11-04T00:00:00Z
support,10330,2020-11-04T00:00:00Z
news,10329,2020-11-04T00:00:00Z
stop,10327,2020-11-04T00:00:00Z
positive,10116,2020-11-04T00:00:00Z
world,9919,2020-11-04T00:00:00Z
government,9914,2020-11-04T00:00:00Z
economy,9831,2020-11-04T00:00:00Z
president,9610,2020-11-04T00:00:00Z
test,9569,2020-11-04T00:00:00Z
doesnt,9415,2020-11-04T00:00:00Z
2020,9299,2020-11-04T00:00:00Z
americans,9274,2020-11-04T00:00:00Z
died,9189,2020-11-04T00:00:00Z
hope,8901,2020-11-04T00:00:00Z
uk,8763,2020-11-04T00:00:00Z
person,8758,2020-11-04T00:00:00Z
youre,8726,2020-11-04T00:00:00Z
days,8606,2020-11-04T00:00:00Z
stay,8555,2020-11-04T00:00:00Z
safe,8517,2020-11-04T00:00:00Z
lot,8435,2020-11-04T00:00:00Z
hes,8333,2020-11-04T00:00:00Z
1,8153,2020-11-04T00:00:00Z
close,8119,2020-11-04T00:00:00Z
months,8089,2020-11-04T00:00:00Z
week,8070,2020-11-04T00:00:00Z
ive,7964,2020-11-04T00:00:00Z
isnt,7700,2020-11-04T00:00:00Z
voters,7618,2020-11-04T00:00:00Z
win,7570,2020-11-04T00:00:00Z
testing,7471,2020-11-04T00:00:00Z
response,7443,2020-11-04T00:00:00Z
3,7437,2020-11-04T00:00:00Z
democrats,7426,2020-11-04T00:00:00Z
global,7417,2020-11-04T00:00:00Z
mask,7399,2020-11-04T00:00:00Z
tomorrow,7219,2020-11-04T00:00:00Z
live,7209,2020-11-04T00:00:00Z
wont,7168,2020-11-04T00:00:00Z
life,7167,2020-11-04T00:00:00Z
november,7099,2020-11-04T00:00:00Z
america,7051,2020-11-04T00:00:00Z
death,7033,2020-11-04T00:00:00Z
weeks,6850,2020-11-04T00:00:00Z
masks,6803,2020-11-04T00:00:00Z
19,6789,2020-11-04T00:00:00Z
school,6728,2020-11-04T00:00:00Z
lost,6699,2020-11-04T00:00:00Z
shit,6697,2020-11-04T00:00:00Z
national,6693,2020-11-04T00:00:00Z
counting,6666,2020-11-04T00:00:00Z
bad,6641,2020-11-04T00:00:00Z
die,6628,2020-11-04T00:00:00Z
