word1,n,date
covid,182988,2021-01-16T00:00:00Z
pandemic,90005,2021-01-16T00:00:00Z
covid19,75176,2021-01-16T00:00:00Z
,64055,2021-01-16T00:00:00Z
lockdown,56305,2021-01-16T00:00:00Z
people,50631,2021-01-16T00:00:00Z
vaccine,39166,2021-01-16T00:00:00Z
im,28327,2021-01-16T00:00:00Z
dont,25752,2021-01-16T00:00:00Z
coronavirus,23841,2021-01-16T00:00:00Z
time,19623,2021-01-16T00:00:00Z
quarantine,18704,2021-01-16T00:00:00Z
deaths,15433,2021-01-16T00:00:00Z
day,14467,2021-01-16T00:00:00Z
health,14186,2021-01-16T00:00:00Z
vaccination,13314,2021-01-16T00:00:00Z
home,12966,2021-01-16T00:00:00Z
due,12049,2021-01-16T00:00:00Z
2,10574,2021-01-16T00:00:00Z
days,10543,2021-01-16T00:00:00Z
virus,10430,2021-01-16T00:00:00Z
trump,10296,2021-01-16T00:00:00Z
world,10177,2021-01-16T00:00:00Z
vaccines,10145,2021-01-16T00:00:00Z
positive,9767,2021-01-16T00:00:00Z
government,9531,2021-01-16T00:00:00Z
uk,9450,2021-01-16T00:00:00Z
mask,8986,2021-01-16T00:00:00Z
test,8921,2021-01-16T00:00:00Z
ive,8897,2021-01-16T00:00:00Z
week,8618,2021-01-16T00:00:00Z
1,8408,2021-01-16T00:00:00Z
life,8130,2021-01-16T00:00:00Z
care,8091,2021-01-16T00:00:00Z
news,8013,2021-01-16T00:00:00Z
india,7990,2021-01-16T00:00:00Z
death,7984,2021-01-16T00:00:00Z
country,7943,2021-01-16T00:00:00Z
didnt,7729,2021-01-16T00:00:00Z
stop,7421,2021-01-16T00:00:00Z
months,7369,2021-01-16T00:00:00Z
3,7286,2021-01-16T00:00:00Z
youre,7177,2021-01-16T00:00:00Z
family,7145,2021-01-16T00:00:00Z
hope,6989,2021-01-16T00:00:00Z
stay,6903,2021-01-16T00:00:00Z
doesnt,6836,2021-01-16T00:00:00Z
died,6722,2021-01-16T00:00:00Z
masks,6429,2021-01-16T00:00:00Z
hospital,6402,2021-01-16T00:00:00Z
workers,6331,2021-01-16T00:00:00Z
19,6259,2021-01-16T00:00:00Z
live,6206,2021-01-16T00:00:00Z
patients,6193,2021-01-16T00:00:00Z
drive,6161,2021-01-16T00:00:00Z
spread,6121,2021-01-16T00:00:00Z
public,5920,2021-01-16T00:00:00Z
safe,5900,2021-01-16T00:00:00Z
feel,5821,2021-01-16T00:00:00Z
love,5731,2021-01-16T00:00:00Z
times,5673,2021-01-16T00:00:00Z
lost,5667,2021-01-16T00:00:00Z
2021,5652,2021-01-16T00:00:00Z
isnt,5633,2021-01-16T00:00:00Z
real,5600,2021-01-16T00:00:00Z
lot,5531,2021-01-16T00:00:00Z
start,5529,2021-01-16T00:00:00Z
die,5522,2021-01-16T00:00:00Z
tested,5480,2021-01-16T00:00:00Z
money,5474,2021-01-16T00:00:00Z
2020,5409,2021-01-16T00:00:00Z
support,5356,2021-01-16T00:00:00Z
