word1,n,date
covid,145397,2020-06-19T00:00:00Z
covid19,145075,2020-06-19T00:00:00Z
coronavirus,99147,2020-06-19T00:00:00Z
,44248,2020-06-19T00:00:00Z
people,41516,2020-06-19T00:00:00Z
pandemic,23639,2020-06-19T00:00:00Z
dont,20482,2020-06-19T00:00:00Z
trump,19421,2020-06-19T00:00:00Z
deaths,18238,2020-06-19T00:00:00Z
realdonaldtrump,17637,2020-06-19T00:00:00Z
19,16642,2020-06-19T00:00:00Z
health,16505,2020-06-19T00:00:00Z
im,14825,2020-06-19T00:00:00Z
masks,14596,2020-06-19T00:00:00Z
time,14366,2020-06-19T00:00:00Z
positive,14214,2020-06-19T00:00:00Z
due,13506,2020-06-19T00:00:00Z
virus,13186,2020-06-19T00:00:00Z
mask,12917,2020-06-19T00:00:00Z
day,11936,2020-06-19T00:00:00Z
news,11813,2020-06-19T00:00:00Z
rally,11147,2020-06-19T00:00:00Z
world,10379,2020-06-19T00:00:00Z
spread,10045,2020-06-19T00:00:00Z
test,9267,2020-06-19T00:00:00Z
florida,9079,2020-06-19T00:00:00Z
wear,9074,2020-06-19T00:00:00Z
home,8994,2020-06-19T00:00:00Z
care,8846,2020-06-19T00:00:00Z
death,8801,2020-06-19T00:00:00Z
2,8657,2020-06-19T00:00:00Z
june,8482,2020-06-19T00:00:00Z
testing,8370,2020-06-19T00:00:00Z
patients,8316,2020-06-19T00:00:00Z
government,8232,2020-06-19T00:00:00Z
tested,8065,2020-06-19T00:00:00Z
uk,7808,2020-06-19T00:00:00Z
china,7731,2020-06-19T00:00:00Z
risk,7598,2020-06-19T00:00:00Z
public,7301,2020-06-19T00:00:00Z
2020,7284,2020-06-19T00:00:00Z
3,7248,2020-06-19T00:00:00Z
days,7151,2020-06-19T00:00:00Z
lockdown,7111,2020-06-19T00:00:00Z
country,6799,2020-06-19T00:00:00Z
crisis,6774,2020-06-19T00:00:00Z
read,6750,2020-06-19T00:00:00Z
support,6701,2020-06-19T00:00:00Z
week,6685,2020-06-19T00:00:00Z
doesnt,6598,2020-06-19T00:00:00Z
1,6563,2020-06-19T00:00:00Z
safe,6326,2020-06-19T00:00:00Z
social,6288,2020-06-19T00:00:00Z
youre,6265,2020-06-19T00:00:00Z
live,6209,2020-06-19T00:00:00Z
tulsa,6076,2020-06-19T00:00:00Z
business,6046,2020-06-19T00:00:00Z
outbreak,6040,2020-06-19T00:00:00Z
stay,5977,2020-06-19T00:00:00Z
response,5942,2020-06-19T00:00:00Z
stop,5905,2020-06-19T00:00:00Z
die,5839,2020-06-19T00:00:00Z
wearing,5832,2020-06-19T00:00:00Z
total,5765,2020-06-19T00:00:00Z
months,5734,2020-06-19T00:00:00Z
hospital,5718,2020-06-19T00:00:00Z
data,5693,2020-06-19T00:00:00Z
died,5583,2020-06-19T00:00:00Z
weeks,5512,2020-06-19T00:00:00Z
lives,5473,2020-06-19T00:00:00Z
didnt,5455,2020-06-19T00:00:00Z
wont,5420,2020-06-19T00:00:00Z
county,5310,2020-06-19T00:00:00Z
tests,5278,2020-06-19T00:00:00Z
daily,5271,2020-06-19T00:00:00Z
workers,5120,2020-06-19T00:00:00Z
update,5073,2020-06-19T00:00:00Z
life,4987,2020-06-19T00:00:00Z
spike,4972,2020-06-19T00:00:00Z
times,4882,2020-06-19T00:00:00Z
economy,4818,2020-06-19T00:00:00Z
hope,4794,2020-06-19T00:00:00Z
americans,4771,2020-06-19T00:00:00Z
reported,4727,2020-06-19T00:00:00Z
vaccine,4711,2020-06-19T00:00:00Z
impact,4706,2020-06-19T00:00:00Z
isnt,4698,2020-06-19T00:00:00Z
free,4665,2020-06-19T00:00:00Z
4,4649,2020-06-19T00:00:00Z
level,4609,2020-06-19T00:00:00Z
trumps,4593,2020-06-19T00:00:00Z
black,4504,2020-06-19T00:00:00Z
rate,4460,2020-06-19T00:00:00Z
watch,4458,2020-06-19T00:00:00Z
post,4447,2020-06-19T00:00:00Z
real,4427,2020-06-19T00:00:00Z
family,4398,2020-06-19T00:00:00Z
president,4389,2020-06-19T00:00:00Z
businesses,4299,2020-06-19T00:00:00Z
money,4296,2020-06-19T00:00:00Z
study,4289,2020-06-19T00:00:00Z
record,4281,2020-06-19T00:00:00Z
million,4243,2020-06-19T00:00:00Z
report,4238,2020-06-19T00:00:00Z
school,4212,2020-06-19T00:00:00Z
india,4198,2020-06-19T00:00:00Z
confirmed,4170,2020-06-19T00:00:00Z
bad,4138,2020-06-19T00:00:00Z
sick,4091,2020-06-19T00:00:00Z
increase,4025,2020-06-19T00:00:00Z
ive,4005,2020-06-19T00:00:00Z
job,3913,2020-06-19T00:00:00Z
hes,3912,2020-06-19T00:00:00Z
players,3907,2020-06-19T00:00:00Z
countries,3896,2020-06-19T00:00:00Z
wuhan,3886,2020-06-19T00:00:00Z
flu,3867,2020-06-19T00:00:00Z
experts,3856,2020-06-19T00:00:00Z
global,3855,2020-06-19T00:00:00Z
rise,3843,2020-06-19T00:00:00Z
staff,3839,2020-06-19T00:00:00Z
medical,3836,2020-06-19T00:00:00Z
app,3835,2020-06-19T00:00:00Z
distancing,3821,2020-06-19T00:00:00Z
protests,3818,2020-06-19T00:00:00Z
plan,3809,2020-06-19T00:00:00Z
safety,3771,2020-06-19T00:00:00Z
friday,3770,2020-06-19T00:00:00Z
5,3750,2020-06-19T00:00:00Z
symptoms,3736,2020-06-19T00:00:00Z
theyre,3730,2020-06-19T00:00:00Z
protect,3701,2020-06-19T00:00:00Z
community,3700,2020-06-19T00:00:00Z
start,3699,2020-06-19T00:00:00Z
top,3693,2020-06-19T00:00:00Z
hospitals,3663,2020-06-19T00:00:00Z
reopening,3616,2020-06-19T00:00:00Z
reports,3611,2020-06-19T00:00:00Z
city,3596,2020-06-19T00:00:00Z
lot,3591,2020-06-19T00:00:00Z
hit,3584,2020-06-19T00:00:00Z
market,3581,2020-06-19T00:00:00Z
check,3568,2020-06-19T00:00:00Z
feel,3524,2020-06-19T00:00:00Z
political,3522,2020-06-19T00:00:00Z
media,3520,2020-06-19T00:00:00Z
coming,3490,2020-06-19T00:00:00Z
fight,3490,2020-06-19T00:00:00Z
infected,3450,2020-06-19T00:00:00Z
dr,3449,2020-06-19T00:00:00Z
nursing,3431,2020-06-19T00:00:00Z
close,3424,2020-06-19T00:00:00Z
10,3403,2020-06-19T00:00:00Z
shit,3390,2020-06-19T00:00:00Z
local,3388,2020-06-19T00:00:00Z
amid,3387,2020-06-19T00:00:00Z
taking,3378,2020-06-19T00:00:00Z
homes,3375,2020-06-19T00:00:00Z
continue,3374,2020-06-19T00:00:00Z
contact,3354,2020-06-19T00:00:00Z
