word1,n,date
covid,153786,2021-10-07T00:00:00Z
covid19,55539,2021-10-07T00:00:00Z
pandemic,50808,2021-10-07T00:00:00Z
,38447,2021-10-07T00:00:00Z
vaccine,35693,2021-10-07T00:00:00Z
people,33908,2021-10-07T00:00:00Z
lockdown,28216,2021-10-07T00:00:00Z
btstwt,27583,2021-10-07T00:00:00Z
dont,16773,2021-10-07T00:00:00Z
vaccinated,15853,2021-10-07T00:00:00Z
universe,14838,2021-10-07T00:00:00Z
im,14569,2021-10-07T00:00:00Z
bangtanhiit,12899,2021-10-07T00:00:00Z
health,12337,2021-10-07T00:00:00Z
time,11765,2021-10-07T00:00:00Z
vaccines,11596,2021-10-07T00:00:00Z
deaths,11550,2021-10-07T00:00:00Z
quarantine,10541,2021-10-07T00:00:00Z
children,10394,2021-10-07T00:00:00Z
kids,9952,2021-10-07T00:00:00Z
pfizer,9743,2021-10-07T00:00:00Z
coronavirus,8764,2021-10-07T00:00:00Z
vaccination,7859,2021-10-07T00:00:00Z
due,7705,2021-10-07T00:00:00Z
day,7290,2021-10-07T00:00:00Z
2,7130,2021-10-07T00:00:00Z
school,6814,2021-10-07T00:00:00Z
test,6652,2021-10-07T00:00:00Z
news,6547,2021-10-07T00:00:00Z
world,6221,2021-10-07T00:00:00Z
died,6208,2021-10-07T00:00:00Z
government,6123,2021-10-07T00:00:00Z
care,6078,2021-10-07T00:00:00Z
home,6041,2021-10-07T00:00:00Z
virus,6028,2021-10-07T00:00:00Z
months,6010,2021-10-07T00:00:00Z
flu,5961,2021-10-07T00:00:00Z
death,5956,2021-10-07T00:00:00Z
risk,5911,2021-10-07T00:00:00Z
1,5690,2021-10-07T00:00:00Z
5,5557,2021-10-07T00:00:00Z
data,5528,2021-10-07T00:00:00Z
doesnt,5462,2021-10-07T00:00:00Z
didnt,5416,2021-10-07T00:00:00Z
youre,5407,2021-10-07T00:00:00Z
days,5162,2021-10-07T00:00:00Z
spread,5148,2021-10-07T00:00:00Z
shot,5137,2021-10-07T00:00:00Z
uk,5084,2021-10-07T00:00:00Z
hospital,4982,2021-10-07T00:00:00Z
stop,4922,2021-10-07T00:00:00Z
mask,4797,2021-10-07T00:00:00Z
ive,4782,2021-10-07T00:00:00Z
patients,4782,2021-10-07T00:00:00Z
unvaccinated,4769,2021-10-07T00:00:00Z
life,4743,2021-10-07T00:00:00Z
public,4698,2021-10-07T00:00:00Z
vax,4509,2021-10-07T00:00:00Z
week,4488,2021-10-07T00:00:00Z
3,4398,2021-10-07T00:00:00Z
positive,4398,2021-10-07T00:00:00Z
die,4321,2021-10-07T00:00:00Z
2021,4315,2021-10-07T00:00:00Z
masks,4067,2021-10-07T00:00:00Z
2020,4050,2021-10-07T00:00:00Z
isnt,4044,2021-10-07T00:00:00Z
read,3984,2021-10-07T00:00:00Z
immunity,3979,2021-10-07T00:00:00Z
country,3947,2021-10-07T00:00:00Z
times,3938,2021-10-07T00:00:00Z
money,3889,2021-10-07T00:00:00Z
