word1,n,date
covid,149983,2020-09-28T00:00:00Z
covid19,91545,2020-09-28T00:00:00Z
coronavirus,46619,2020-09-28T00:00:00Z
,35871,2020-09-28T00:00:00Z
people,28893,2020-09-28T00:00:00Z
trump,17557,2020-09-28T00:00:00Z
pandemic,16250,2020-09-28T00:00:00Z
deaths,15449,2020-09-28T00:00:00Z
dont,15121,2020-09-28T00:00:00Z
im,12750,2020-09-28T00:00:00Z
health,11764,2020-09-28T00:00:00Z
time,11528,2020-09-28T00:00:00Z
test,10717,2020-09-28T00:00:00Z
due,10557,2020-09-28T00:00:00Z
positive,9173,2020-09-28T00:00:00Z
virus,8874,2020-09-28T00:00:00Z
news,8758,2020-09-28T00:00:00Z
realdonaldtrump,7986,2020-09-28T00:00:00Z
world,7890,2020-09-28T00:00:00Z
day,7318,2020-09-28T00:00:00Z
19,7137,2020-09-28T00:00:00Z
death,7072,2020-09-28T00:00:00Z
government,7022,2020-09-28T00:00:00Z
million,6960,2020-09-28T00:00:00Z
testing,6949,2020-09-28T00:00:00Z
2,6823,2020-09-28T00:00:00Z
vaccine,6647,2020-09-28T00:00:00Z
1,6575,2020-09-28T00:00:00Z
home,6540,2020-09-28T00:00:00Z
care,6527,2020-09-28T00:00:00Z
school,6511,2020-09-28T00:00:00Z
tests,6240,2020-09-28T00:00:00Z
mask,6072,2020-09-28T00:00:00Z
died,6069,2020-09-28T00:00:00Z
week,6015,2020-09-28T00:00:00Z
2020,5941,2020-09-28T00:00:00Z
flu,5828,2020-09-28T00:00:00Z
days,5430,2020-09-28T00:00:00Z
students,5317,2020-09-28T00:00:00Z
spread,5287,2020-09-28T00:00:00Z
didnt,5221,2020-09-28T00:00:00Z
stop,5141,2020-09-28T00:00:00Z
public,5140,2020-09-28T00:00:00Z
months,5088,2020-09-28T00:00:00Z
tested,5074,2020-09-28T00:00:00Z
president,5059,2020-09-28T00:00:00Z
masks,5031,2020-09-28T00:00:00Z
lockdown,4968,2020-09-28T00:00:00Z
3,4963,2020-09-28T00:00:00Z
americans,4948,2020-09-28T00:00:00Z
read,4844,2020-09-28T00:00:00Z
country,4784,2020-09-28T00:00:00Z
response,4768,2020-09-28T00:00:00Z
live,4758,2020-09-28T00:00:00Z
schools,4741,2020-09-28T00:00:00Z
doesnt,4674,2020-09-28T00:00:00Z
trumps,4656,2020-09-28T00:00:00Z
risk,4629,2020-09-28T00:00:00Z
restrictions,4621,2020-09-28T00:00:00Z
times,4602,2020-09-28T00:00:00Z
uk,4602,2020-09-28T00:00:00Z
rate,4583,2020-09-28T00:00:00Z
patients,4555,2020-09-28T00:00:00Z
youre,4470,2020-09-28T00:00:00Z
support,4451,2020-09-28T00:00:00Z
life,4370,2020-09-28T00:00:00Z
money,4324,2020-09-28T00:00:00Z
cdc,4308,2020-09-28T00:00:00Z
safe,4257,2020-09-28T00:00:00Z
economy,4226,2020-09-28T00:00:00Z
social,4156,2020-09-28T00:00:00Z
data,4149,2020-09-28T00:00:00Z
total,4025,2020-09-28T00:00:00Z
business,4005,2020-09-28T00:00:00Z
weeks,3991,2020-09-28T00:00:00Z
lives,3938,2020-09-28T00:00:00Z
family,3901,2020-09-28T00:00:00Z
tax,3876,2020-09-28T00:00:00Z
taxes,3846,2020-09-28T00:00:00Z
plan,3841,2020-09-28T00:00:00Z
hes,3833,2020-09-28T00:00:00Z
crisis,3781,2020-09-28T00:00:00Z
update,3761,2020-09-28T00:00:00Z
biden,3738,2020-09-28T00:00:00Z
app,3722,2020-09-28T00:00:00Z
die,3705,2020-09-28T00:00:00Z
hope,3656,2020-09-28T00:00:00Z
6,3654,2020-09-28T00:00:00Z
ive,3611,2020-09-28T00:00:00Z
wont,3589,2020-09-28T00:00:00Z
job,3561,2020-09-28T00:00:00Z
isnt,3556,2020-09-28T00:00:00Z
free,3551,2020-09-28T00:00:00Z
global,3541,2020-09-28T00:00:00Z
china,3507,2020-09-28T00:00:00Z
stay,3488,2020-09-28T00:00:00Z
10,3400,2020-09-28T00:00:00Z
wave,3397,2020-09-28T00:00:00Z
real,3396,2020-09-28T00:00:00Z
reported,3376,2020-09-28T00:00:00Z
lost,3370,2020-09-28T00:00:00Z
pay,3368,2020-09-28T00:00:00Z
4,3341,2020-09-28T00:00:00Z
hospital,3339,2020-09-28T00:00:00Z
kids,3238,2020-09-28T00:00:00Z
dead,3218,2020-09-28T00:00:00Z
vote,3205,2020-09-28T00:00:00Z
wear,3192,2020-09-28T00:00:00Z
children,3186,2020-09-28T00:00:00Z
symptoms,3171,2020-09-28T00:00:00Z
report,3164,2020-09-28T00:00:00Z
daily,3122,2020-09-28T00:00:00Z
bad,3075,2020-09-28T00:00:00Z
impact,3046,2020-09-28T00:00:00Z
5,3026,2020-09-28T00:00:00Z
rules,3005,2020-09-28T00:00:00Z
feel,2981,2020-09-28T00:00:00Z
monday,2974,2020-09-28T00:00:00Z
house,2964,2020-09-28T00:00:00Z
dr,2939,2020-09-28T00:00:00Z
lot,2908,2020-09-28T00:00:00Z
businesses,2889,2020-09-28T00:00:00Z
results,2887,2020-09-28T00:00:00Z
start,2855,2020-09-28T00:00:00Z
force,2835,2020-09-28T00:00:00Z
september,2831,2020-09-28T00:00:00Z
countries,2829,2020-09-28T00:00:00Z
person,2799,2020-09-28T00:00:00Z
reports,2782,2020-09-28T00:00:00Z
call,2780,2020-09-28T00:00:00Z
told,2777,2020-09-28T00:00:00Z
county,2764,2020-09-28T00:00:00Z
protect,2764,2020-09-28T00:00:00Z
post,2757,2020-09-28T00:00:00Z
check,2711,2020-09-28T00:00:00Z
national,2704,2020-09-28T00:00:00Z
watch,2699,2020-09-28T00:00:00Z
nhs,2698,2020-09-28T00:00:00Z
travel,2637,2020-09-28T00:00:00Z
joebiden,2630,2020-09-28T00:00:00Z
taking,2619,2020-09-28T00:00:00Z
community,2606,2020-09-28T00:00:00Z
change,2573,2020-09-28T00:00:00Z
sick,2573,2020-09-28T00:00:00Z
love,2572,2020-09-28T00:00:00Z
hit,2569,2020-09-28T00:00:00Z
information,2559,2020-09-28T00:00:00Z
theyre,2555,2020-09-28T00:00:00Z
measures,2547,2020-09-28T00:00:00Z
coming,2546,2020-09-28T00:00:00Z
staff,2540,2020-09-28T00:00:00Z
medical,2531,2020-09-28T00:00:00Z
rosiewearamask,2529,2020-09-28T00:00:00Z
local,2477,2020-09-28T00:00:00Z
india,2470,2020-09-28T00:00:00Z
control,2465,2020-09-28T00:00:00Z
online,2463,2020-09-28T00:00:00Z
study,2453,2020-09-28T00:00:00Z
workers,2445,2020-09-28T00:00:00Z
hard,2439,2020-09-28T00:00:00Z
confirmed,2428,2020-09-28T00:00:00Z
fight,2428,2020-09-28T00:00:00Z
disease,2398,2020-09-28T00:00:00Z
city,2381,2020-09-28T00:00:00Z
media,2379,2020-09-28T00:00:00Z
shit,2376,2020-09-28T00:00:00Z
