word1,n,date
game,2617,2021-09-04T00:00:00Z
plan,2586,2021-09-04T00:00:00Z
doctors,2574,2021-09-04T00:00:00Z
havent,2566,2021-09-04T00:00:00Z
effects,2562,2021-09-04T00:00:00Z
change,2560,2021-09-04T00:00:00Z
india,2558,2021-09-04T00:00:00Z
100,2553,2021-09-04T00:00:00Z
coming,2548,2021-09-04T00:00:00Z
understand,2534,2021-09-04T00:00:00Z
fight,2532,2021-09-04T00:00:00Z
ago,2498,2021-09-04T00:00:00Z
county,2490,2021-09-04T00:00:00Z
lol,2486,2021-09-04T00:00:00Z
workers,2484,2021-09-04T00:00:00Z
drug,2443,2021-09-04T00:00:00Z
response,2440,2021-09-04T00:00:00Z
wrong,2428,2021-09-04T00:00:00Z
travel,2426,2021-09-04T00:00:00Z
bc,2412,2021-09-04T00:00:00Z
fuck,2404,2021-09-04T00:00:00Z
reason,2396,2021-09-04T00:00:00Z
spreading,2385,2021-09-04T00:00:00Z
middle,2383,2021-09-04T00:00:00Z
rules,2335,2021-09-04T00:00:00Z
booster,2323,2021-09-04T00:00:00Z
yeah,2305,2021-09-04T00:00:00Z
left,2298,2021-09-04T00:00:00Z
whats,2279,2021-09-04T00:00:00Z
id,2274,2021-09-04T00:00:00Z
biden,2270,2021-09-04T00:00:00Z
living,2247,2021-09-04T00:00:00Z
ppl,2242,2021-09-04T00:00:00Z
infected,2234,2021-09-04T00:00:00Z
reported,2234,2021-09-04T00:00:00Z
effective,2231,2021-09-04T00:00:00Z
september,2219,2021-09-04T00:00:00Z
fucking,2212,2021-09-04T00:00:00Z
true,2197,2021-09-04T00:00:00Z
6,2192,2021-09-04T00:00:00Z
treat,2184,2021-09-04T00:00:00Z
age,2183,2021-09-04T00:00:00Z
total,2183,2021-09-04T00:00:00Z
god,2178,2021-09-04T00:00:00Z
15,2168,2021-09-04T00:00:00Z
hospitalized,2157,2021-09-04T00:00:00Z
issues,2156,2021-09-04T00:00:00Z
month,2156,2021-09-04T00:00:00Z
situation,2141,2021-09-04T00:00:00Z
doctor,2137,2021-09-04T00:00:00Z
past,2136,2021-09-04T00:00:00Z
pay,2130,2021-09-04T00:00:00Z
prevent,2124,2021-09-04T00:00:00Z
coup,2115,2021-09-04T00:00:00Z
catch,2112,2021-09-04T00:00:00Z
football,2112,2021-09-04T00:00:00Z
normal,2112,2021-09-04T00:00:00Z
watch,2110,2021-09-04T00:00:00Z
wearing,2104,2021-09-04T00:00:00Z
gonna,2102,2021-09-04T00:00:00Z
hit,2102,2021-09-04T00:00:00Z
dead,2098,2021-09-04T00:00:00Z
dr,2098,2021-09-04T00:00:00Z
business,2097,2021-09-04T00:00:00Z
wasnt,2090,2021-09-04T00:00:00Z
wouldnt,2089,2021-09-04T00:00:00Z
shots,2076,2021-09-04T00:00:00Z
govt,2066,2021-09-04T00:00:00Z
call,2062,2021-09-04T00:00:00Z
called,2054,2021-09-04T00:00:00Z
human,2049,2021-09-04T00:00:00Z
miss,2043,2021-09-04T00:00:00Z
cure,2038,2021-09-04T00:00:00Z
rates,2015,2021-09-04T00:00:00Z
crisis,2011,2021-09-04T00:00:00Z
healthcare,2011,2021-09-04T00:00:00Z
literally,2007,2021-09-04T00:00:00Z
team,1997,2021-09-04T00:00:00Z
weekend,1990,2021-09-04T00:00:00Z
low,1989,2021-09-04T00:00:00Z
remember,1975,2021-09-04T00:00:00Z
