word1,n,date
covid,217789,2022-01-17T00:00:00Z
pandemic,60870,2022-01-17T00:00:00Z
covid19,47130,2022-01-17T00:00:00Z
,46531,2022-01-17T00:00:00Z
people,38548,2022-01-17T00:00:00Z
im,22539,2022-01-17T00:00:00Z
dont,21816,2022-01-17T00:00:00Z
vaccine,18079,2022-01-17T00:00:00Z
time,15361,2022-01-17T00:00:00Z
lockdown,15023,2022-01-17T00:00:00Z
health,13094,2022-01-17T00:00:00Z
day,12349,2022-01-17T00:00:00Z
positive,12244,2022-01-17T00:00:00Z
vaccinated,11834,2022-01-17T00:00:00Z
test,11300,2022-01-17T00:00:00Z
2,10973,2022-01-17T00:00:00Z
due,10958,2022-01-17T00:00:00Z
omicron,10947,2022-01-17T00:00:00Z
deaths,10614,2022-01-17T00:00:00Z
days,10078,2022-01-17T00:00:00Z
quarantine,9867,2022-01-17T00:00:00Z
vaccines,8694,2022-01-17T00:00:00Z
home,8455,2022-01-17T00:00:00Z
world,8408,2022-01-17T00:00:00Z
coronavirus,8109,2022-01-17T00:00:00Z
week,7914,2022-01-17T00:00:00Z
didnt,7614,2022-01-17T00:00:00Z
virus,7402,2022-01-17T00:00:00Z
news,7236,2022-01-17T00:00:00Z
kids,7038,2022-01-17T00:00:00Z
care,6872,2022-01-17T00:00:00Z
youre,6817,2022-01-17T00:00:00Z
ive,6810,2022-01-17T00:00:00Z
1,6788,2022-01-17T00:00:00Z
school,6749,2022-01-17T00:00:00Z
government,6737,2022-01-17T00:00:00Z
doesnt,6721,2022-01-17T00:00:00Z
tests,6700,2022-01-17T00:00:00Z
tested,6549,2022-01-17T00:00:00Z
sick,6484,2022-01-17T00:00:00Z
3,6332,2022-01-17T00:00:00Z
stop,6283,2022-01-17T00:00:00Z
10,6263,2022-01-17T00:00:00Z
vaccination,6234,2022-01-17T00:00:00Z
mohammed,6168,2022-01-17T00:00:00Z
mask,6072,2022-01-17T00:00:00Z
hospital,6046,2022-01-17T00:00:00Z
death,6004,2022-01-17T00:00:00Z
nasser,5997,2022-01-17T00:00:00Z
testing,5967,2022-01-17T00:00:00Z
alyamani,5956,2022-01-17T00:00:00Z
life,5907,2022-01-17T00:00:00Z
masks,5907,2022-01-17T00:00:00Z
risk,5901,2022-01-17T00:00:00Z
rules,5845,2022-01-17T00:00:00Z
public,5791,2022-01-17T00:00:00Z
mahdi,5695,2022-01-17T00:00:00Z
imam,5663,2022-01-17T00:00:00Z
symptoms,5631,2022-01-17T00:00:00Z
spread,5507,2022-01-17T00:00:00Z
children,5364,2022-01-17T00:00:00Z
2022,5309,2022-01-17T00:00:00Z
feel,5232,2022-01-17T00:00:00Z
unvaccinated,5147,2022-01-17T00:00:00Z
isnt,5105,2022-01-17T00:00:00Z
died,5104,2022-01-17T00:00:00Z
bad,5075,2022-01-17T00:00:00Z
family,5038,2022-01-17T00:00:00Z
flu,5001,2022-01-17T00:00:00Z
free,4951,2022-01-17T00:00:00Z
country,4885,2022-01-17T00:00:00Z
booster,4836,2022-01-17T00:00:00Z
patients,4821,2022-01-17T00:00:00Z
5,4748,2022-01-17T00:00:00Z
hope,4711,2022-01-17T00:00:00Z
data,4654,2022-01-17T00:00:00Z
times,4633,2022-01-17T00:00:00Z
2020,4627,2022-01-17T00:00:00Z
students,4598,2022-01-17T00:00:00Z
live,4595,2022-01-17T00:00:00Z
read,4413,2022-01-17T00:00:00Z
lot,4389,2022-01-17T00:00:00Z
weeks,4362,2022-01-17T00:00:00Z
schools,4347,2022-01-17T00:00:00Z
china,4331,2022-01-17T00:00:00Z
months,4263,2022-01-17T00:00:00Z
australia,4248,2022-01-17T00:00:00Z
safe,4213,2022-01-17T00:00:00Z
hes,4161,2022-01-17T00:00:00Z
start,4151,2022-01-17T00:00:00Z
global,4120,2022-01-17T00:00:00Z
stay,4116,2022-01-17T00:00:00Z
person,4071,2022-01-17T00:00:00Z
4,4063,2022-01-17T00:00:00Z
allaah,4018,2022-01-17T00:00:00Z
real,3950,2022-01-17T00:00:00Z
die,3898,2022-01-17T00:00:00Z
negative,3886,2022-01-17T00:00:00Z
theyre,3869,2022-01-17T00:00:00Z
money,3849,2022-01-17T00:00:00Z
restrictions,3847,2022-01-17T00:00:00Z
wont,3846,2022-01-17T00:00:00Z
worlds,3819,2022-01-17T00:00:00Z
rate,3812,2022-01-17T00:00:00Z
infection,3805,2022-01-17T00:00:00Z
staff,3799,2022-01-17T00:00:00Z
medical,3754,2022-01-17T00:00:00Z
january,3646,2022-01-17T00:00:00Z
trump,3607,2022-01-17T00:00:00Z
ill,3550,2022-01-17T00:00:00Z
vax,3487,2022-01-17T00:00:00Z
uk,3484,2022-01-17T00:00:00Z
lost,3476,2022-01-17T00:00:00Z
shit,3446,2022-01-17T00:00:00Z
15012022,3424,2022-01-17T00:00:00Z
plan,3335,2022-01-17T00:00:00Z
vaxxed,3334,2022-01-17T00:00:00Z
hard,3321,2022-01-17T00:00:00Z
love,3320,2022-01-17T00:00:00Z
started,3308,2022-01-17T00:00:00Z
system,3306,2022-01-17T00:00:00Z
biden,3295,2022-01-17T00:00:00Z
