word1,n,date
covid,121582,2022-02-13T00:00:00Z
pandemic,39214,2022-02-13T00:00:00Z
people,25469,2022-02-13T00:00:00Z
,25389,2022-02-13T00:00:00Z
covid19,20755,2022-02-13T00:00:00Z
dont,13951,2022-02-13T00:00:00Z
im,12633,2022-02-13T00:00:00Z
vaccine,10883,2022-02-13T00:00:00Z
time,9635,2022-02-13T00:00:00Z
lockdown,7569,2022-02-13T00:00:00Z
deaths,7420,2022-02-13T00:00:00Z
health,7325,2022-02-13T00:00:00Z
2,6813,2022-02-13T00:00:00Z
vaccinated,6323,2022-02-13T00:00:00Z
day,6021,2022-02-13T00:00:00Z
vaccines,6003,2022-02-13T00:00:00Z
mask,5730,2022-02-13T00:00:00Z
test,5672,2022-02-13T00:00:00Z
masks,5363,2022-02-13T00:00:00Z
didnt,5178,2022-02-13T00:00:00Z
world,5084,2022-02-13T00:00:00Z
restrictions,4971,2022-02-13T00:00:00Z
mandates,4967,2022-02-13T00:00:00Z
coronavirus,4618,2022-02-13T00:00:00Z
due,4562,2022-02-13T00:00:00Z
death,4454,2022-02-13T00:00:00Z
quarantine,4420,2022-02-13T00:00:00Z
care,4379,2022-02-13T00:00:00Z
youre,4373,2022-02-13T00:00:00Z
virus,4363,2022-02-13T00:00:00Z
died,4351,2022-02-13T00:00:00Z
kids,4345,2022-02-13T00:00:00Z
home,4308,2022-02-13T00:00:00Z
ive,4235,2022-02-13T00:00:00Z
doesnt,4141,2022-02-13T00:00:00Z
life,4044,2022-02-13T00:00:00Z
government,3929,2022-02-13T00:00:00Z
risk,3896,2022-02-13T00:00:00Z
positive,3893,2022-02-13T00:00:00Z
stop,3886,2022-02-13T00:00:00Z
omicron,3785,2022-02-13T00:00:00Z
days,3771,2022-02-13T00:00:00Z
3,3610,2022-02-13T00:00:00Z
1,3576,2022-02-13T00:00:00Z
children,3447,2022-02-13T00:00:00Z
news,3443,2022-02-13T00:00:00Z
data,3360,2022-02-13T00:00:00Z
week,3348,2022-02-13T00:00:00Z
isnt,3240,2022-02-13T00:00:00Z
flu,3221,2022-02-13T00:00:00Z
spread,3221,2022-02-13T00:00:00Z
public,3215,2022-02-13T00:00:00Z
2020,3097,2022-02-13T00:00:00Z
live,3065,2022-02-13T00:00:00Z
feel,3057,2022-02-13T00:00:00Z
sick,2996,2022-02-13T00:00:00Z
family,2976,2022-02-13T00:00:00Z
country,2930,2022-02-13T00:00:00Z
die,2904,2022-02-13T00:00:00Z
science,2871,2022-02-13T00:00:00Z
lot,2870,2022-02-13T00:00:00Z
china,2851,2022-02-13T00:00:00Z
months,2829,2022-02-13T00:00:00Z
school,2823,2022-02-13T00:00:00Z
bad,2805,2022-02-13T00:00:00Z
real,2773,2022-02-13T00:00:00Z
free,2745,2022-02-13T00:00:00Z
times,2731,2022-02-13T00:00:00Z
lost,2678,2022-02-13T00:00:00Z
hospital,2676,2022-02-13T00:00:00Z
hope,2651,2022-02-13T00:00:00Z
vaccination,2569,2022-02-13T00:00:00Z
canada,2501,2022-02-13T00:00:00Z
wear,2499,2022-02-13T00:00:00Z
started,2485,2022-02-13T00:00:00Z
vax,2443,2022-02-13T00:00:00Z
money,2436,2022-02-13T00:00:00Z
theyre,2407,2022-02-13T00:00:00Z
global,2387,2022-02-13T00:00:00Z
love,2375,2022-02-13T00:00:00Z
weeks,2370,2022-02-13T00:00:00Z
read,2320,2022-02-13T00:00:00Z
dying,2299,2022-02-13T00:00:00Z
wont,2273,2022-02-13T00:00:00Z
start,2270,2022-02-13T00:00:00Z
5,2269,2022-02-13T00:00:00Z
tests,2222,2022-02-13T00:00:00Z
4,2213,2022-02-13T00:00:00Z
unvaccinated,2203,2022-02-13T00:00:00Z
person,2202,2022-02-13T00:00:00Z
hard,2169,2022-02-13T00:00:00Z
freedom,2162,2022-02-13T00:00:00Z
symptoms,2162,2022-02-13T00:00:00Z
trump,2156,2022-02-13T00:00:00Z
2022,2140,2022-02-13T00:00:00Z
rate,2138,2022-02-13T00:00:00Z
safe,2113,2022-02-13T00:00:00Z
police,2103,2022-02-13T00:00:00Z
uk,2091,2022-02-13T00:00:00Z
team,2082,2022-02-13T00:00:00Z
support,2076,2022-02-13T00:00:00Z
havent,2073,2022-02-13T00:00:00Z
lives,2067,2022-02-13T00:00:00Z
patients,2066,2022-02-13T00:00:00Z
ill,2063,2022-02-13T00:00:00Z
normal,2058,2022-02-13T00:00:00Z
stay,2058,2022-02-13T00:00:00Z
hes,2055,2022-02-13T00:00:00Z
vaxxed,2031,2022-02-13T00:00:00Z
infection,2006,2022-02-13T00:00:00Z
media,2003,2022-02-13T00:00:00Z
tested,2000,2022-02-13T00:00:00Z
system,1990,2022-02-13T00:00:00Z
issues,1984,2022-02-13T00:00:00Z
medical,1979,2022-02-13T00:00:00Z
million,1978,2022-02-13T00:00:00Z
heart,1952,2022-02-13T00:00:00Z
wearing,1948,2022-02-13T00:00:00Z
10,1917,2022-02-13T00:00:00Z
worse,1915,2022-02-13T00:00:00Z
testing,1901,2022-02-13T00:00:00Z
ago,1891,2022-02-13T00:00:00Z
lol,1882,2022-02-13T00:00:00Z
19,1879,2022-02-13T00:00:00Z
post,1868,2022-02-13T00:00:00Z
disease,1823,2022-02-13T00:00:00Z
job,1820,2022-02-13T00:00:00Z
wrong,1803,2022-02-13T00:00:00Z
living,1801,2022-02-13T00:00:00Z
understand,1801,2022-02-13T00:00:00Z
daily,1781,2022-02-13T00:00:00Z
study,1770,2022-02-13T00:00:00Z
response,1767,2022-02-13T00:00:00Z
arent,1758,2022-02-13T00:00:00Z
