word1,n,date
lunar,1434,2020-01-23T00:00:00Z
ncov2019,1395,2020-01-23T00:00:00Z
singapore,1381,2020-01-23T00:00:00Z
major,1379,2020-01-23T00:00:00Z
viruses,1373,2020-01-23T00:00:00Z
died,1372,2020-01-23T00:00:00Z
home,1369,2020-01-23T00:00:00Z
started,1367,2020-01-23T00:00:00Z
protect,1359,2020-01-23T00:00:00Z
prevent,1357,2020-01-23T00:00:00Z
4,1326,2020-01-23T00:00:00Z
jan,1323,2020-01-23T00:00:00Z
week,1307,2020-01-23T00:00:00Z
family,1305,2020-01-23T00:00:00Z
seattle,1301,2020-01-23T00:00:00Z
residents,1300,2020-01-23T00:00:00Z
taiwan,1300,2020-01-23T00:00:00Z
information,1293,2020-01-23T00:00:00Z
including,1292,2020-01-23T00:00:00Z
scotland,1287,2020-01-23T00:00:00Z
fear,1282,2020-01-23T00:00:00Z
scientists,1277,2020-01-23T00:00:00Z
start,1276,2020-01-23T00:00:00Z
coronovirus,1273,2020-01-23T00:00:00Z
flight,1273,2020-01-23T00:00:00Z
rise,1273,2020-01-23T00:00:00Z
contact,1272,2020-01-23T00:00:00Z
transportation,1270,2020-01-23T00:00:00Z
440,1260,2020-01-23T00:00:00Z
hospitals,1251,2020-01-23T00:00:00Z
plague,1244,2020-01-23T00:00:00Z
close,1242,2020-01-23T00:00:00Z
hundreds,1228,2020-01-23T00:00:00Z
soup,1228,2020-01-23T00:00:00Z
report,1215,2020-01-23T00:00:00Z
canada,1203,2020-01-23T00:00:00Z
shit,1197,2020-01-23T00:00:00Z
mask,1196,2020-01-23T00:00:00Z
hubei,1195,2020-01-23T00:00:00Z
concerns,1191,2020-01-23T00:00:00Z
fever,1191,2020-01-23T00:00:00Z
travelers,1191,2020-01-23T00:00:00Z
central,1186,2020-01-23T00:00:00Z
confirm,1173,2020-01-23T00:00:00Z
video,1173,2020-01-23T00:00:00Z
check,1163,2020-01-23T00:00:00Z
detected,1161,2020-01-23T00:00:00Z
ban,1158,2020-01-23T00:00:00Z
population,1157,2020-01-23T00:00:00Z
bad,1156,2020-01-23T00:00:00Z
january,1153,2020-01-23T00:00:00Z
millions,1147,2020-01-23T00:00:00Z
organization,1142,2020-01-23T00:00:00Z
viral,1140,2020-01-23T00:00:00Z
meeting,1139,2020-01-23T00:00:00Z
leave,1138,2020-01-23T00:00:00Z
food,1135,2020-01-23T00:00:00Z
hit,1134,2020-01-23T00:00:00Z
20,1118,2020-01-23T00:00:00Z
york,1118,2020-01-23T00:00:00Z
local,1112,2020-01-23T00:00:00Z
avoid,1108,2020-01-23T00:00:00Z
2019,1099,2020-01-23T00:00:00Z
response,1097,2020-01-23T00:00:00Z
concern,1090,2020-01-23T00:00:00Z
originated,1080,2020-01-23T00:00:00Z
mystery,1078,2020-01-23T00:00:00Z
worse,1077,2020-01-23T00:00:00Z
patent,1062,2020-01-23T00:00:00Z
cold,1060,2020-01-23T00:00:00Z
shanghai,1055,2020-01-23T00:00:00Z
care,1047,2020-01-23T00:00:00Z
national,1045,2020-01-23T00:00:00Z
warns,1042,2020-01-23T00:00:00Z
real,1039,2020-01-23T00:00:00Z
caused,1033,2020-01-23T00:00:00Z
die,1028,2020-01-23T00:00:00Z
usa,1024,2020-01-23T00:00:00Z
wear,1024,2020-01-23T00:00:00Z
doesnt,1021,2020-01-23T00:00:00Z
morning,1019,2020-01-23T00:00:00Z
5,1012,2020-01-23T00:00:00Z
low,1012,2020-01-23T00:00:00Z
center,1009,2020-01-23T00:00:00Z
isnt,1006,2020-01-23T00:00:00Z
rt,1004,2020-01-23T00:00:00Z
taking,1002,2020-01-23T00:00:00Z
ebola,1001,2020-01-23T00:00:00Z
scary,998,2020-01-23T00:00:00Z
threat,994,2020-01-23T00:00:00Z
ive,993,2020-01-23T00:00:00Z
declare,989,2020-01-23T00:00:00Z
potential,989,2020-01-23T00:00:00Z
expected,985,2020-01-23T00:00:00Z
ago,983,2020-01-23T00:00:00Z
post,983,2020-01-23T00:00:00Z
eat,980,2020-01-23T00:00:00Z
animal,973,2020-01-23T00:00:00Z
expert,971,2020-01-23T00:00:00Z
infections,967,2020-01-23T00:00:00Z
common,966,2020-01-23T00:00:00Z
screened,957,2020-01-23T00:00:00Z
texas,957,2020-01-23T00:00:00Z
lab,956,2020-01-23T00:00:00Z
killer,954,2020-01-23T00:00:00Z
hands,948,2020-01-23T00:00:00Z
wednesday,943,2020-01-23T00:00:00Z
official,942,2020-01-23T00:00:00Z
thursday,937,2020-01-23T00:00:00Z
positive,936,2020-01-23T00:00:00Z
quarantines,936,2020-01-23T00:00:00Z
arriving,934,2020-01-23T00:00:00Z
updates,918,2020-01-23T00:00:00Z
screenings,917,2020-01-23T00:00:00Z
potentially,901,2020-01-23T00:00:00Z
total,900,2020-01-23T00:00:00Z
300,891,2020-01-23T00:00:00Z
