lang,n,date
en,284768,2020-09-26
es,74942,2020-09-26
pt,24538,2020-09-26
fr,19335,2020-09-26
in,17466,2020-09-26
und,13846,2020-09-26
it,8124,2020-09-26
tr,5040,2020-09-26
ar,4709,2020-09-26
ca,3884,2020-09-26
tl,3759,2020-09-26
de,3391,2020-09-26
nl,3055,2020-09-26
ja,2682,2020-09-26
pl,1577,2020-09-26
ru,1526,2020-09-26
hi,1454,2020-09-26
el,694,2020-09-26
cs,638,2020-09-26
et,610,2020-09-26
ro,555,2020-09-26
sv,370,2020-09-26
ta,269,2020-09-26
da,234,2020-09-26
zh,211,2020-09-26
mr,206,2020-09-26
lt,192,2020-09-26
ml,181,2020-09-26
fi,180,2020-09-26
sl,175,2020-09-26
iw,168,2020-09-26
uk,165,2020-09-26
lv,157,2020-09-26
th,147,2020-09-26
bn,139,2020-09-26
gu,125,2020-09-26
ht,118,2020-09-26
te,113,2020-09-26
cy,110,2020-09-26
ur,99,2020-09-26
hu,87,2020-09-26
or,87,2020-09-26
ko,77,2020-09-26
no,71,2020-09-26
fa,66,2020-09-26
kn,60,2020-09-26
vi,57,2020-09-26
bg,47,2020-09-26
is,47,2020-09-26
eu,39,2020-09-26
ne,38,2020-09-26
my,33,2020-09-26
pa,20,2020-09-26
sr,13,2020-09-26
hy,10,2020-09-26
si,6,2020-09-26
am,4,2020-09-26
ka,4,2020-09-26
km,3,2020-09-26
ps,3,2020-09-26
ckb,2,2020-09-26
sd,2,2020-09-26
