lang,n,date
en,85824,2020-02-22
it,36633,2020-02-22
es,21824,2020-02-22
und,8243,2020-02-22
fr,6974,2020-02-22
ja,6738,2020-02-22
pt,3641,2020-02-22
tr,2833,2020-02-22
de,2156,2020-02-22
in,1540,2020-02-22
ca,1464,2020-02-22
nl,1219,2020-02-22
zh,813,2020-02-22
th,755,2020-02-22
tl,609,2020-02-22
fa,550,2020-02-22
ro,493,2020-02-22
ar,465,2020-02-22
lt,465,2020-02-22
ru,412,2020-02-22
pl,337,2020-02-22
hi,287,2020-02-22
vi,239,2020-02-22
ko,221,2020-02-22
sv,211,2020-02-22
sl,175,2020-02-22
el,174,2020-02-22
fi,135,2020-02-22
ta,121,2020-02-22
et,120,2020-02-22
da,115,2020-02-22
cs,97,2020-02-22
ur,90,2020-02-22
ht,52,2020-02-22
uk,49,2020-02-22
ml,44,2020-02-22
iw,43,2020-02-22
lv,39,2020-02-22
cy,29,2020-02-22
eu,28,2020-02-22
no,27,2020-02-22
te,22,2020-02-22
or,19,2020-02-22
bn,18,2020-02-22
kn,18,2020-02-22
gu,17,2020-02-22
ne,17,2020-02-22
mr,16,2020-02-22
si,15,2020-02-22
ckb,14,2020-02-22
hu,13,2020-02-22
pa,13,2020-02-22
km,10,2020-02-22
bg,8,2020-02-22
ps,8,2020-02-22
my,6,2020-02-22
is,4,2020-02-22
sr,3,2020-02-22
hy,1,2020-02-22
sd,1,2020-02-22
