lang,n,date
en,409298,2021-05-10
es,69800,2021-05-10
pt,32190,2021-05-10
in,25082,2021-05-10
fr,18774,2021-05-10
und,16331,2021-05-10
hi,11265,2021-05-10
it,8796,2021-05-10
de,6598,2021-05-10
tr,5903,2021-05-10
tl,5670,2021-05-10
ja,5397,2021-05-10
nl,3513,2021-05-10
pl,2145,2021-05-10
ca,1964,2021-05-10
et,1932,2021-05-10
ta,1353,2021-05-10
el,1177,2021-05-10
ru,1168,2021-05-10
th,1123,2021-05-10
mr,1007,2021-05-10
sv,883,2021-05-10
kn,773,2021-05-10
ro,761,2021-05-10
ml,698,2021-05-10
ht,692,2021-05-10
cs,639,2021-05-10
te,632,2021-05-10
ar,563,2021-05-10
bn,509,2021-05-10
gu,474,2021-05-10
zh,385,2021-05-10
lv,370,2021-05-10
vi,337,2021-05-10
ur,307,2021-05-10
fi,301,2021-05-10
da,294,2021-05-10
or,276,2021-05-10
ne,189,2021-05-10
no,167,2021-05-10
sl,166,2021-05-10
uk,163,2021-05-10
pa,162,2021-05-10
cy,149,2021-05-10
hu,125,2021-05-10
si,113,2021-05-10
lt,112,2021-05-10
ko,88,2021-05-10
eu,85,2021-05-10
fa,60,2021-05-10
is,39,2021-05-10
bg,34,2021-05-10
km,17,2021-05-10
iw,13,2021-05-10
sr,11,2021-05-10
lo,7,2021-05-10
ps,7,2021-05-10
bo,6,2021-05-10
ka,5,2021-05-10
my,5,2021-05-10
am,4,2021-05-10
dv,2,2021-05-10
hy,2,2021-05-10
