lang,n,date
en,424769,2021-05-12
es,68873,2021-05-12
pt,48116,2021-05-12
in,20460,2021-05-12
fr,18546,2021-05-12
und,15411,2021-05-12
hi,10430,2021-05-12
it,8046,2021-05-12
de,6523,2021-05-12
tl,5856,2021-05-12
tr,5809,2021-05-12
ja,5610,2021-05-12
nl,3734,2021-05-12
pl,2030,2021-05-12
ca,1981,2021-05-12
et,1704,2021-05-12
ta,1511,2021-05-12
ru,1485,2021-05-12
el,1198,2021-05-12
th,1068,2021-05-12
mr,1009,2021-05-12
sv,812,2021-05-12
ar,760,2021-05-12
te,693,2021-05-12
ro,679,2021-05-12
kn,646,2021-05-12
cs,630,2021-05-12
ht,587,2021-05-12
bn,539,2021-05-12
ml,487,2021-05-12
zh,484,2021-05-12
gu,381,2021-05-12
vi,343,2021-05-12
da,336,2021-05-12
fi,272,2021-05-12
ur,269,2021-05-12
or,259,2021-05-12
lv,258,2021-05-12
uk,240,2021-05-12
ne,190,2021-05-12
no,164,2021-05-12
sl,164,2021-05-12
ko,162,2021-05-12
hu,140,2021-05-12
cy,134,2021-05-12
pa,120,2021-05-12
si,105,2021-05-12
lt,79,2021-05-12
eu,68,2021-05-12
fa,56,2021-05-12
is,36,2021-05-12
bg,27,2021-05-12
iw,26,2021-05-12
sr,15,2021-05-12
my,12,2021-05-12
lo,10,2021-05-12
km,5,2021-05-12
am,4,2021-05-12
hy,3,2021-05-12
ka,2,2021-05-12
ps,2,2021-05-12
ckb,1,2021-05-12
