lang,n,date
en,577174,2020-11-11
es,86451,2020-11-11
pt,31538,2020-11-11
fr,30574,2020-11-11
it,24164,2020-11-11
und,20160,2020-11-11
in,13408,2020-11-11
tr,11427,2020-11-11
de,10424,2020-11-11
tl,5325,2020-11-11
ca,4335,2020-11-11
ja,4310,2020-11-11
el,3910,2020-11-11
nl,3680,2020-11-11
ru,3322,2020-11-11
pl,3158,2020-11-11
hi,1647,2020-11-11
sv,1390,2020-11-11
ro,1031,2020-11-11
cs,1019,2020-11-11
et,940,2020-11-11
ar,864,2020-11-11
da,583,2020-11-11
uk,469,2020-11-11
lv,446,2020-11-11
ta,400,2020-11-11
sl,376,2020-11-11
zh,344,2020-11-11
ht,311,2020-11-11
fi,298,2020-11-11
ur,280,2020-11-11
th,263,2020-11-11
no,221,2020-11-11
lt,191,2020-11-11
hu,183,2020-11-11
cy,159,2020-11-11
bg,143,2020-11-11
fa,132,2020-11-11
eu,131,2020-11-11
ko,131,2020-11-11
mr,120,2020-11-11
ml,119,2020-11-11
bn,104,2020-11-11
ne,103,2020-11-11
iw,91,2020-11-11
vi,85,2020-11-11
is,84,2020-11-11
si,83,2020-11-11
gu,79,2020-11-11
te,70,2020-11-11
kn,67,2020-11-11
or,46,2020-11-11
sr,27,2020-11-11
my,15,2020-11-11
pa,15,2020-11-11
ps,12,2020-11-11
hy,8,2020-11-11
ckb,7,2020-11-11
ka,5,2020-11-11
am,3,2020-11-11
bo,2,2020-11-11
km,2,2020-11-11
lo,1,2020-11-11
ug,1,2020-11-11
