lang,n,date
en,421948,2020-10-18
es,65219,2020-10-18
it,20267,2020-10-18
pt,17994,2020-10-18
fr,17531,2020-10-18
und,17200,2020-10-18
in,11817,2020-10-18
de,7546,2020-10-18
tl,5489,2020-10-18
nl,5190,2020-10-18
pl,4444,2020-10-18
tr,3662,2020-10-18
ca,3541,2020-10-18
ja,2603,2020-10-18
hi,1902,2020-10-18
ru,1759,2020-10-18
cs,1614,2020-10-18
el,770,2020-10-18
ro,713,2020-10-18
et,629,2020-10-18
ar,595,2020-10-18
sv,425,2020-10-18
lv,376,2020-10-18
sl,338,2020-10-18
uk,282,2020-10-18
ta,272,2020-10-18
da,263,2020-10-18
ht,252,2020-10-18
th,227,2020-10-18
fi,220,2020-10-18
zh,209,2020-10-18
ml,185,2020-10-18
mr,168,2020-10-18
lt,167,2020-10-18
bn,140,2020-10-18
hu,110,2020-10-18
ko,105,2020-10-18
te,100,2020-10-18
gu,99,2020-10-18
cy,96,2020-10-18
kn,94,2020-10-18
no,91,2020-10-18
ur,81,2020-10-18
iw,75,2020-10-18
ne,73,2020-10-18
bg,69,2020-10-18
or,64,2020-10-18
fa,62,2020-10-18
vi,60,2020-10-18
eu,58,2020-10-18
is,54,2020-10-18
si,44,2020-10-18
sr,25,2020-10-18
my,12,2020-10-18
pa,9,2020-10-18
hy,6,2020-10-18
ckb,4,2020-10-18
am,3,2020-10-18
ka,3,2020-10-18
ps,3,2020-10-18
