lang,n,date
en,416983,2020-06-10
es,153725,2020-06-10
pt,46880,2020-06-10
in,23846,2020-06-10
und,22401,2020-06-10
fr,21353,2020-06-10
it,11265,2020-06-10
tl,6362,2020-06-10
hi,5631,2020-06-10
tr,5216,2020-06-10
ja,5170,2020-06-10
ca,4983,2020-06-10
de,4715,2020-06-10
ru,2843,2020-06-10
nl,2786,2020-06-10
ar,1982,2020-06-10
ur,1200,2020-06-10
ta,1103,2020-06-10
pl,990,2020-06-10
ro,880,2020-06-10
et,804,2020-06-10
el,765,2020-06-10
mr,592,2020-06-10
th,556,2020-06-10
sv,543,2020-06-10
lt,431,2020-06-10
zh,424,2020-06-10
ml,371,2020-06-10
bn,319,2020-06-10
cs,314,2020-06-10
uk,297,2020-06-10
da,292,2020-06-10
kn,237,2020-06-10
lv,232,2020-06-10
gu,227,2020-06-10
fi,208,2020-06-10
te,203,2020-06-10
ht,198,2020-06-10
ko,193,2020-06-10
vi,177,2020-06-10
cy,172,2020-06-10
fa,145,2020-06-10
ne,139,2020-06-10
or,126,2020-06-10
no,123,2020-06-10
eu,115,2020-06-10
bg,71,2020-06-10
pa,67,2020-06-10
sl,62,2020-06-10
iw,53,2020-06-10
ps,47,2020-06-10
hu,43,2020-06-10
hy,27,2020-06-10
ckb,26,2020-06-10
is,26,2020-06-10
si,19,2020-06-10
sr,17,2020-06-10
sd,12,2020-06-10
am,11,2020-06-10
my,11,2020-06-10
ka,7,2020-06-10
km,7,2020-06-10
lo,2,2020-06-10
bo,1,2020-06-10
dv,1,2020-06-10
