lang,n,date
en,317894,2021-04-10
es,90496,2021-04-10
pt,46041,2021-04-10
fr,18085,2021-04-10
und,13550,2021-04-10
de,12204,2021-04-10
in,11168,2021-04-10
it,10872,2021-04-10
tl,8725,2021-04-10
hi,6797,2021-04-10
tr,6600,2021-04-10
nl,4177,2021-04-10
ja,4156,2021-04-10
pl,2166,2021-04-10
ca,1811,2021-04-10
mr,1715,2021-04-10
et,1315,2021-04-10
th,1224,2021-04-10
ru,1028,2021-04-10
el,900,2021-04-10
ro,712,2021-04-10
sv,690,2021-04-10
cs,611,2021-04-10
ta,540,2021-04-10
gu,488,2021-04-10
ar,430,2021-04-10
ht,386,2021-04-10
fi,364,2021-04-10
zh,292,2021-04-10
ur,268,2021-04-10
da,256,2021-04-10
no,256,2021-04-10
lv,248,2021-04-10
uk,221,2021-04-10
te,202,2021-04-10
ml,200,2021-04-10
kn,198,2021-04-10
sl,195,2021-04-10
or,163,2021-04-10
bn,161,2021-04-10
hu,140,2021-04-10
cy,93,2021-04-10
fa,89,2021-04-10
vi,87,2021-04-10
lt,75,2021-04-10
ko,73,2021-04-10
pa,66,2021-04-10
ne,50,2021-04-10
bg,49,2021-04-10
is,46,2021-04-10
eu,44,2021-04-10
iw,23,2021-04-10
sr,14,2021-04-10
my,10,2021-04-10
si,8,2021-04-10
ps,7,2021-04-10
am,6,2021-04-10
ckb,4,2021-04-10
hy,4,2021-04-10
lo,3,2021-04-10
km,2,2021-04-10
bo,1,2021-04-10
dv,1,2021-04-10
sd,1,2021-04-10
