lang,n,date
en,472549,2021-02-04
es,97222,2021-02-04
pt,30358,2021-02-04
fr,26393,2021-02-04
in,18925,2021-02-04
und,16219,2021-02-04
de,11754,2021-02-04
it,10175,2021-02-04
nl,6138,2021-02-04
tr,4847,2021-02-04
ja,4806,2021-02-04
tl,4135,2021-02-04
ca,3846,2021-02-04
pl,1968,2021-02-04
ru,1959,2021-02-04
el,1843,2021-02-04
hi,1450,2021-02-04
sv,1286,2021-02-04
cs,1008,2021-02-04
et,783,2021-02-04
ro,755,2021-02-04
ar,711,2021-02-04
lv,651,2021-02-04
da,470,2021-02-04
th,425,2021-02-04
zh,396,2021-02-04
vi,304,2021-02-04
fi,289,2021-02-04
uk,288,2021-02-04
ht,244,2021-02-04
sl,208,2021-02-04
no,189,2021-02-04
ta,174,2021-02-04
fa,138,2021-02-04
cy,134,2021-02-04
ko,123,2021-02-04
ml,115,2021-02-04
hu,111,2021-02-04
lt,102,2021-02-04
ur,102,2021-02-04
eu,92,2021-02-04
bg,89,2021-02-04
iw,87,2021-02-04
mr,76,2021-02-04
my,68,2021-02-04
bn,63,2021-02-04
te,54,2021-02-04
kn,46,2021-02-04
gu,41,2021-02-04
is,40,2021-02-04
ne,28,2021-02-04
or,25,2021-02-04
si,16,2021-02-04
sr,15,2021-02-04
pa,13,2021-02-04
hy,11,2021-02-04
lo,6,2021-02-04
dv,4,2021-02-04
ka,4,2021-02-04
km,4,2021-02-04
am,3,2021-02-04
ps,2,2021-02-04
sd,2,2021-02-04
bo,1,2021-02-04
ckb,1,2021-02-04
