lang,n,date
en,706211,2020-05-12
es,200022,2020-05-12
pt,73184,2020-05-12
und,42837,2020-05-12
fr,41129,2020-05-12
in,39230,2020-05-12
it,18494,2020-05-12
ja,9939,2020-05-12
hi,9799,2020-05-12
ca,9264,2020-05-12
tl,9244,2020-05-12
de,9183,2020-05-12
tr,8630,2020-05-12
ru,4621,2020-05-12
nl,4211,2020-05-12
ar,2517,2020-05-12
pl,1852,2020-05-12
ro,1643,2020-05-12
th,1150,2020-05-12
et,1108,2020-05-12
ta,1075,2020-05-12
el,1045,2020-05-12
sv,956,2020-05-12
mr,940,2020-05-12
ur,800,2020-05-12
da,718,2020-05-12
zh,682,2020-05-12
uk,634,2020-05-12
fi,599,2020-05-12
lt,541,2020-05-12
cs,521,2020-05-12
gu,430,2020-05-12
lv,427,2020-05-12
kn,423,2020-05-12
bn,416,2020-05-12
ml,415,2020-05-12
ht,403,2020-05-12
vi,324,2020-05-12
te,299,2020-05-12
cy,246,2020-05-12
sl,245,2020-05-12
ne,241,2020-05-12
ko,203,2020-05-12
no,196,2020-05-12
eu,179,2020-05-12
fa,171,2020-05-12
or,155,2020-05-12
pa,128,2020-05-12
bg,126,2020-05-12
hu,102,2020-05-12
iw,74,2020-05-12
is,48,2020-05-12
si,44,2020-05-12
sr,35,2020-05-12
ps,33,2020-05-12
hy,32,2020-05-12
sd,24,2020-05-12
my,22,2020-05-12
am,14,2020-05-12
km,12,2020-05-12
ka,11,2020-05-12
ckb,9,2020-05-12
lo,7,2020-05-12
dv,4,2020-05-12
bo,3,2020-05-12
