lang,n,date
en,610233,2020-10-27
es,100120,2020-10-27
fr,40589,2020-10-27
it,26951,2020-10-27
pt,25990,2020-10-27
in,21828,2020-10-27
und,21651,2020-10-27
de,15090,2020-10-27
nl,7714,2020-10-27
tr,7046,2020-10-27
tl,5928,2020-10-27
ca,5718,2020-10-27
pl,3731,2020-10-27
ja,3299,2020-10-27
ru,3262,2020-10-27
el,2397,2020-10-27
cs,1626,2020-10-27
hi,1498,2020-10-27
ro,1053,2020-10-27
ar,877,2020-10-27
et,758,2020-10-27
sv,745,2020-10-27
lv,551,2020-10-27
ta,490,2020-10-27
uk,411,2020-10-27
da,397,2020-10-27
sl,342,2020-10-27
ht,280,2020-10-27
zh,279,2020-10-27
no,275,2020-10-27
th,272,2020-10-27
fi,249,2020-10-27
mr,245,2020-10-27
lt,226,2020-10-27
bg,175,2020-10-27
cy,160,2020-10-27
ml,156,2020-10-27
eu,140,2020-10-27
ur,139,2020-10-27
gu,132,2020-10-27
hu,129,2020-10-27
iw,117,2020-10-27
bn,116,2020-10-27
vi,110,2020-10-27
ko,105,2020-10-27
si,101,2020-10-27
kn,90,2020-10-27
fa,89,2020-10-27
te,89,2020-10-27
is,79,2020-10-27
or,56,2020-10-27
ne,45,2020-10-27
sr,30,2020-10-27
my,18,2020-10-27
pa,11,2020-10-27
ka,8,2020-10-27
hy,7,2020-10-27
ckb,6,2020-10-27
km,5,2020-10-27
am,4,2020-10-27
lo,4,2020-10-27
ps,1,2020-10-27
