lang,n,date
en,486560,2022-01-03
es,98306,2022-01-03
fr,47085,2022-01-03
pt,37082,2022-01-03
it,17395,2022-01-03
und,17282,2022-01-03
in,9641,2022-01-03
tr,8120,2022-01-03
de,7843,2022-01-03
tl,7404,2022-01-03
nl,6617,2022-01-03
hi,4260,2022-01-03
ja,3581,2022-01-03
pl,2954,2022-01-03
ca,2673,2022-01-03
el,1522,2022-01-03
sv,1180,2022-01-03
ru,1022,2022-01-03
et,902,2022-01-03
cs,807,2022-01-03
ro,653,2022-01-03
ar,650,2022-01-03
bn,582,2022-01-03
mr,571,2022-01-03
da,451,2022-01-03
fi,439,2022-01-03
th,434,2022-01-03
zh,429,2022-01-03
ta,428,2022-01-03
ht,354,2022-01-03
gu,324,2022-01-03
no,255,2022-01-03
lv,248,2022-01-03
kn,246,2022-01-03
te,193,2022-01-03
sl,190,2022-01-03
ml,174,2022-01-03
ur,165,2022-01-03
vi,148,2022-01-03
is,147,2022-01-03
uk,144,2022-01-03
ko,130,2022-01-03
hu,127,2022-01-03
cy,120,2022-01-03
iw,112,2022-01-03
or,103,2022-01-03
eu,82,2022-01-03
lt,73,2022-01-03
bg,56,2022-01-03
pa,44,2022-01-03
fa,42,2022-01-03
si,22,2022-01-03
sr,17,2022-01-03
ne,15,2022-01-03
ps,6,2022-01-03
am,5,2022-01-03
hy,5,2022-01-03
ka,5,2022-01-03
lo,5,2022-01-03
ckb,4,2022-01-03
km,3,2022-01-03
bo,2,2022-01-03
my,2,2022-01-03
sd,2,2022-01-03
dv,1,2022-01-03
