lang,n,date
en,409199,2021-01-17
es,85696,2021-01-17
pt,62560,2021-01-17
fr,22526,2021-01-17
in,18507,2021-01-17
und,17644,2021-01-17
de,12651,2021-01-17
it,12043,2021-01-17
nl,6742,2021-01-17
ja,5687,2021-01-17
tl,5320,2021-01-17
tr,5295,2021-01-17
ca,3094,2021-01-17
pl,1810,2021-01-17
hi,1614,2021-01-17
ru,1393,2021-01-17
sv,1246,2021-01-17
el,897,2021-01-17
ro,750,2021-01-17
et,729,2021-01-17
ar,608,2021-01-17
cs,594,2021-01-17
th,543,2021-01-17
da,402,2021-01-17
zh,328,2021-01-17
ht,314,2021-01-17
fi,245,2021-01-17
lv,210,2021-01-17
uk,201,2021-01-17
sl,189,2021-01-17
ta,175,2021-01-17
no,138,2021-01-17
mr,126,2021-01-17
hu,120,2021-01-17
ur,116,2021-01-17
lt,114,2021-01-17
ml,113,2021-01-17
ko,112,2021-01-17
cy,94,2021-01-17
iw,91,2021-01-17
gu,87,2021-01-17
bn,85,2021-01-17
fa,77,2021-01-17
kn,75,2021-01-17
vi,68,2021-01-17
te,57,2021-01-17
bg,56,2021-01-17
eu,51,2021-01-17
or,45,2021-01-17
is,39,2021-01-17
si,35,2021-01-17
ne,21,2021-01-17
pa,13,2021-01-17
sr,13,2021-01-17
my,10,2021-01-17
km,4,2021-01-17
ps,4,2021-01-17
am,3,2021-01-17
ckb,3,2021-01-17
hy,3,2021-01-17
dv,2,2021-01-17
bo,1,2021-01-17
ka,1,2021-01-17
