lang,n,date
en,333802,2021-05-02
es,55223,2021-05-02
pt,27475,2021-05-02
in,18576,2021-05-02
fr,14819,2021-05-02
und,13098,2021-05-02
hi,8834,2021-05-02
tr,8817,2021-05-02
it,8138,2021-05-02
de,6420,2021-05-02
tl,5791,2021-05-02
ja,4822,2021-05-02
nl,2941,2021-05-02
pl,1518,2021-05-02
ca,1496,2021-05-02
et,1485,2021-05-02
ru,1037,2021-05-02
th,925,2021-05-02
sv,762,2021-05-02
ar,702,2021-05-02
ro,666,2021-05-02
ht,645,2021-05-02
el,499,2021-05-02
cs,483,2021-05-02
mr,442,2021-05-02
zh,344,2021-05-02
ur,331,2021-05-02
ta,313,2021-05-02
gu,309,2021-05-02
kn,294,2021-05-02
fi,289,2021-05-02
vi,248,2021-05-02
or,247,2021-05-02
da,226,2021-05-02
bn,212,2021-05-02
te,209,2021-05-02
ne,190,2021-05-02
lv,174,2021-05-02
no,144,2021-05-02
uk,143,2021-05-02
hu,125,2021-05-02
pa,123,2021-05-02
ml,120,2021-05-02
sl,105,2021-05-02
ko,101,2021-05-02
cy,85,2021-05-02
si,69,2021-05-02
lt,64,2021-05-02
fa,51,2021-05-02
eu,38,2021-05-02
bg,30,2021-05-02
is,27,2021-05-02
iw,24,2021-05-02
my,9,2021-05-02
sr,8,2021-05-02
am,5,2021-05-02
ckb,5,2021-05-02
ps,5,2021-05-02
hy,4,2021-05-02
km,3,2021-05-02
lo,3,2021-05-02
sd,2,2021-05-02
bo,1,2021-05-02
dv,1,2021-05-02
