lang,n,date
en,308717,2020-09-13
es,73178,2020-09-13
fr,21140,2020-09-13
pt,17611,2020-09-13
in,16048,2020-09-13
und,15443,2020-09-13
it,6744,2020-09-13
tr,6347,2020-09-13
tl,5261,2020-09-13
ja,3275,2020-09-13
ca,3042,2020-09-13
de,2925,2020-09-13
hi,2475,2020-09-13
nl,1513,2020-09-13
ru,1006,2020-09-13
pl,777,2020-09-13
cs,707,2020-09-13
et,686,2020-09-13
ro,599,2020-09-13
el,514,2020-09-13
ar,509,2020-09-13
ta,385,2020-09-13
sv,357,2020-09-13
zh,228,2020-09-13
mr,226,2020-09-13
th,226,2020-09-13
da,221,2020-09-13
ml,218,2020-09-13
uk,204,2020-09-13
lt,202,2020-09-13
te,170,2020-09-13
gu,160,2020-09-13
bn,141,2020-09-13
iw,133,2020-09-13
fi,131,2020-09-13
ht,128,2020-09-13
kn,126,2020-09-13
lv,107,2020-09-13
ko,103,2020-09-13
sl,100,2020-09-13
hu,98,2020-09-13
ur,89,2020-09-13
or,88,2020-09-13
no,82,2020-09-13
vi,79,2020-09-13
cy,76,2020-09-13
ne,74,2020-09-13
bg,59,2020-09-13
fa,53,2020-09-13
eu,38,2020-09-13
pa,31,2020-09-13
my,28,2020-09-13
is,26,2020-09-13
hy,8,2020-09-13
sr,8,2020-09-13
si,7,2020-09-13
ka,6,2020-09-13
am,3,2020-09-13
dv,2,2020-09-13
km,2,2020-09-13
bo,1,2020-09-13
lo,1,2020-09-13
ps,1,2020-09-13
