lang,n,date
en,480489,2021-02-22
es,77255,2021-02-22
pt,36636,2021-02-22
fr,23404,2021-02-22
und,14859,2021-02-22
it,14352,2021-02-22
in,14144,2021-02-22
de,11195,2021-02-22
tr,5560,2021-02-22
nl,5446,2021-02-22
tl,3981,2021-02-22
ja,3336,2021-02-22
ca,2666,2021-02-22
pl,1982,2021-02-22
cs,1602,2021-02-22
el,1574,2021-02-22
hi,1470,2021-02-22
ru,1309,2021-02-22
sv,1056,2021-02-22
ro,782,2021-02-22
et,729,2021-02-22
ar,579,2021-02-22
mr,575,2021-02-22
da,421,2021-02-22
th,373,2021-02-22
uk,346,2021-02-22
lv,333,2021-02-22
fi,301,2021-02-22
zh,281,2021-02-22
ht,243,2021-02-22
vi,227,2021-02-22
hu,158,2021-02-22
cy,141,2021-02-22
sl,141,2021-02-22
ta,138,2021-02-22
no,123,2021-02-22
gu,121,2021-02-22
ml,113,2021-02-22
kn,103,2021-02-22
ko,93,2021-02-22
lt,87,2021-02-22
ur,83,2021-02-22
bg,78,2021-02-22
fa,72,2021-02-22
eu,69,2021-02-22
or,64,2021-02-22
bn,58,2021-02-22
iw,48,2021-02-22
te,48,2021-02-22
is,40,2021-02-22
si,25,2021-02-22
pa,18,2021-02-22
ne,17,2021-02-22
my,11,2021-02-22
sr,9,2021-02-22
km,6,2021-02-22
ckb,5,2021-02-22
am,4,2021-02-22
lo,4,2021-02-22
ka,3,2021-02-22
dv,2,2021-02-22
hy,2,2021-02-22
ps,2,2021-02-22
bo,1,2021-02-22
sd,1,2021-02-22
