lang,n,date
en,1181438,2020-04-02
es,346124,2020-04-02
pt,97195,2020-04-02
fr,84899,2020-04-02
und,84547,2020-04-02
in,45494,2020-04-02
it,38045,2020-04-02
tl,25674,2020-04-02
ja,19095,2020-04-02
tr,18872,2020-04-02
ca,17250,2020-04-02
de,17084,2020-04-02
hi,13682,2020-04-02
nl,9954,2020-04-02
ru,5305,2020-04-02
ar,5243,2020-04-02
ro,3520,2020-04-02
th,3432,2020-04-02
el,2788,2020-04-02
pl,2779,2020-04-02
ta,1930,2020-04-02
sv,1743,2020-04-02
ur,1521,2020-04-02
et,1518,2020-04-02
cs,1397,2020-04-02
lt,1360,2020-04-02
zh,1277,2020-04-02
da,1106,2020-04-02
mr,1105,2020-04-02
fi,992,2020-04-02
uk,910,2020-04-02
ht,813,2020-04-02
te,742,2020-04-02
lv,688,2020-04-02
fa,687,2020-04-02
kn,670,2020-04-02
vi,635,2020-04-02
ml,599,2020-04-02
sl,558,2020-04-02
gu,508,2020-04-02
ko,487,2020-04-02
bn,460,2020-04-02
no,381,2020-04-02
cy,364,2020-04-02
eu,348,2020-04-02
ne,307,2020-04-02
bg,223,2020-04-02
or,220,2020-04-02
pa,192,2020-04-02
iw,172,2020-04-02
hu,164,2020-04-02
si,135,2020-04-02
sr,126,2020-04-02
is,103,2020-04-02
ps,70,2020-04-02
am,55,2020-04-02
my,46,2020-04-02
hy,45,2020-04-02
ckb,39,2020-04-02
km,22,2020-04-02
ka,21,2020-04-02
lo,21,2020-04-02
sd,20,2020-04-02
bo,13,2020-04-02
ug,8,2020-04-02
dv,3,2020-04-02
