lang,n,date
en,337857,2022-01-16
es,72947,2022-01-16
pt,32879,2022-01-16
fr,25539,2022-01-16
und,13762,2022-01-16
it,13294,2022-01-16
de,6842,2022-01-16
in,5697,2022-01-16
nl,4749,2022-01-16
tr,4741,2022-01-16
tl,4586,2022-01-16
pl,3939,2022-01-16
ja,3439,2022-01-16
hi,3243,2022-01-16
ca,1905,2022-01-16
ar,1364,2022-01-16
sv,917,2022-01-16
ru,916,2022-01-16
et,894,2022-01-16
cs,793,2022-01-16
el,619,2022-01-16
ta,525,2022-01-16
fi,471,2022-01-16
ro,437,2022-01-16
zh,435,2022-01-16
da,365,2022-01-16
th,346,2022-01-16
ml,261,2022-01-16
no,227,2022-01-16
ht,206,2022-01-16
bn,196,2022-01-16
lv,188,2022-01-16
mr,176,2022-01-16
sl,174,2022-01-16
kn,166,2022-01-16
te,145,2022-01-16
uk,143,2022-01-16
ur,143,2022-01-16
gu,135,2022-01-16
is,111,2022-01-16
hu,110,2022-01-16
ko,79,2022-01-16
vi,76,2022-01-16
cy,66,2022-01-16
iw,66,2022-01-16
or,52,2022-01-16
bg,51,2022-01-16
ne,47,2022-01-16
lt,42,2022-01-16
eu,40,2022-01-16
fa,22,2022-01-16
pa,20,2022-01-16
sr,14,2022-01-16
si,8,2022-01-16
my,6,2022-01-16
hy,4,2022-01-16
ka,3,2022-01-16
ckb,2,2022-01-16
lo,2,2022-01-16
ps,2,2022-01-16
