lang,n,date
en,1268580,2020-03-30
es,373162,2020-03-30
pt,111911,2020-03-30
fr,97632,2020-03-30
und,96908,2020-03-30
in,52261,2020-03-30
it,49671,2020-03-30
tr,26198,2020-03-30
ja,23779,2020-03-30
de,20360,2020-03-30
ca,19194,2020-03-30
tl,17666,2020-03-30
hi,15694,2020-03-30
nl,10610,2020-03-30
ar,7121,2020-03-30
th,5691,2020-03-30
ru,5244,2020-03-30
ro,4309,2020-03-30
pl,3238,2020-03-30
el,3077,2020-03-30
ur,2641,2020-03-30
ta,2211,2020-03-30
sv,1686,2020-03-30
et,1642,2020-03-30
lt,1593,2020-03-30
cs,1571,2020-03-30
zh,1416,2020-03-30
mr,1336,2020-03-30
da,1275,2020-03-30
fa,1252,2020-03-30
fi,1099,2020-03-30
ht,1000,2020-03-30
vi,809,2020-03-30
uk,784,2020-03-30
te,769,2020-03-30
kn,759,2020-03-30
lv,690,2020-03-30
ml,683,2020-03-30
ko,637,2020-03-30
gu,631,2020-03-30
bn,618,2020-03-30
sl,478,2020-03-30
ne,421,2020-03-30
cy,414,2020-03-30
eu,404,2020-03-30
no,385,2020-03-30
iw,239,2020-03-30
or,209,2020-03-30
hu,180,2020-03-30
bg,177,2020-03-30
si,156,2020-03-30
pa,144,2020-03-30
ps,131,2020-03-30
is,129,2020-03-30
sr,123,2020-03-30
sd,58,2020-03-30
am,54,2020-03-30
hy,50,2020-03-30
my,38,2020-03-30
ckb,35,2020-03-30
lo,15,2020-03-30
km,13,2020-03-30
ka,12,2020-03-30
bo,7,2020-03-30
ug,4,2020-03-30
dv,3,2020-03-30
