lang,n,date
en,258755,2022-02-07
es,41020,2022-02-07
pt,22238,2022-02-07
in,19688,2022-02-07
fr,15653,2022-02-07
und,10131,2022-02-07
it,8816,2022-02-07
de,5978,2022-02-07
tr,5727,2022-02-07
ja,3614,2022-02-07
nl,3295,2022-02-07
tl,2412,2022-02-07
pl,2138,2022-02-07
hi,1577,2022-02-07
ca,1446,2022-02-07
ru,1409,2022-02-07
sv,737,2022-02-07
el,636,2022-02-07
cs,600,2022-02-07
et,460,2022-02-07
ro,445,2022-02-07
zh,411,2022-02-07
ar,392,2022-02-07
lv,390,2022-02-07
th,343,2022-02-07
uk,293,2022-02-07
da,291,2022-02-07
fi,263,2022-02-07
ht,191,2022-02-07
no,157,2022-02-07
ta,143,2022-02-07
mr,140,2022-02-07
ko,139,2022-02-07
vi,114,2022-02-07
ml,110,2022-02-07
sl,90,2022-02-07
bn,89,2022-02-07
is,84,2022-02-07
cy,81,2022-02-07
iw,80,2022-02-07
te,72,2022-02-07
ur,72,2022-02-07
gu,66,2022-02-07
hu,59,2022-02-07
or,57,2022-02-07
bg,56,2022-02-07
lt,46,2022-02-07
fa,44,2022-02-07
kn,43,2022-02-07
eu,38,2022-02-07
pa,27,2022-02-07
ne,17,2022-02-07
sr,13,2022-02-07
si,10,2022-02-07
hy,6,2022-02-07
km,4,2022-02-07
my,4,2022-02-07
am,3,2022-02-07
ka,3,2022-02-07
lo,1,2022-02-07
