lang,n,date
en,470448,2021-12-17
es,51750,2021-12-17
fr,29187,2021-12-17
pt,18851,2021-12-17
und,15765,2021-12-17
in,11599,2021-12-17
it,10430,2021-12-17
de,9021,2021-12-17
nl,8377,2021-12-17
pl,3267,2021-12-17
ja,3231,2021-12-17
ca,2851,2021-12-17
tr,2447,2021-12-17
tl,1982,2021-12-17
hi,1360,2021-12-17
sv,1275,2021-12-17
el,1255,2021-12-17
ru,1233,2021-12-17
cs,964,2021-12-17
et,666,2021-12-17
da,605,2021-12-17
ro,487,2021-12-17
ar,483,2021-12-17
fi,416,2021-12-17
zh,384,2021-12-17
no,376,2021-12-17
th,361,2021-12-17
lv,318,2021-12-17
uk,219,2021-12-17
ta,198,2021-12-17
ht,187,2021-12-17
eu,169,2021-12-17
mr,152,2021-12-17
vi,149,2021-12-17
sl,135,2021-12-17
hu,132,2021-12-17
cy,130,2021-12-17
gu,116,2021-12-17
bn,115,2021-12-17
ml,105,2021-12-17
is,101,2021-12-17
kn,90,2021-12-17
ko,82,2021-12-17
ur,81,2021-12-17
te,78,2021-12-17
fa,74,2021-12-17
lt,71,2021-12-17
iw,54,2021-12-17
or,54,2021-12-17
bg,48,2021-12-17
ne,16,2021-12-17
pa,16,2021-12-17
sr,16,2021-12-17
si,12,2021-12-17
hy,6,2021-12-17
lo,3,2021-12-17
am,2,2021-12-17
ckb,2,2021-12-17
km,2,2021-12-17
my,2,2021-12-17
bo,1,2021-12-17
ka,1,2021-12-17
ps,1,2021-12-17
sd,1,2021-12-17
