lang,n,date
en,378093,2021-09-03
es,53742,2021-09-03
fr,18581,2021-09-03
pt,16629,2021-09-03
in,14687,2021-09-03
und,14183,2021-09-03
it,8616,2021-09-03
tl,6359,2021-09-03
de,6275,2021-09-03
ja,5666,2021-09-03
tr,5306,2021-09-03
nl,3770,2021-09-03
ca,1701,2021-09-03
pl,1607,2021-09-03
hi,1240,2021-09-03
ru,1160,2021-09-03
el,1079,2021-09-03
sv,952,2021-09-03
th,724,2021-09-03
et,604,2021-09-03
ar,486,2021-09-03
zh,431,2021-09-03
ro,423,2021-09-03
cs,422,2021-09-03
lv,327,2021-09-03
ta,315,2021-09-03
fi,246,2021-09-03
vi,241,2021-09-03
sl,205,2021-09-03
da,178,2021-09-03
uk,175,2021-09-03
ht,162,2021-09-03
ml,159,2021-09-03
mr,150,2021-09-03
gu,136,2021-09-03
fa,133,2021-09-03
ur,131,2021-09-03
bn,104,2021-09-03
no,103,2021-09-03
cy,96,2021-09-03
iw,87,2021-09-03
hu,85,2021-09-03
ko,81,2021-09-03
kn,79,2021-09-03
lt,76,2021-09-03
bg,75,2021-09-03
si,70,2021-09-03
te,61,2021-09-03
eu,52,2021-09-03
or,48,2021-09-03
is,34,2021-09-03
my,33,2021-09-03
sr,31,2021-09-03
ne,22,2021-09-03
pa,13,2021-09-03
hy,10,2021-09-03
ka,5,2021-09-03
bo,2,2021-09-03
ckb,2,2021-09-03
lo,2,2021-09-03
am,1,2021-09-03
dv,1,2021-09-03
km,1,2021-09-03
ps,1,2021-09-03
