lang,n,date
en,947891,2020-04-16
es,292892,2020-04-16
pt,86521,2020-04-16
fr,68974,2020-04-16
und,68353,2020-04-16
in,36298,2020-04-16
it,33988,2020-04-16
ja,17700,2020-04-16
tr,15019,2020-04-16
de,14203,2020-04-16
ca,13288,2020-04-16
hi,12838,2020-04-16
tl,12302,2020-04-16
nl,7413,2020-04-16
ru,5633,2020-04-16
ar,4093,2020-04-16
th,2745,2020-04-16
ro,2486,2020-04-16
pl,2271,2020-04-16
ur,1959,2020-04-16
el,1940,2020-04-16
et,1796,2020-04-16
ta,1750,2020-04-16
sv,1735,2020-04-16
uk,1525,2020-04-16
zh,1113,2020-04-16
cs,1061,2020-04-16
mr,1027,2020-04-16
da,1023,2020-04-16
fi,946,2020-04-16
lt,937,2020-04-16
lv,708,2020-04-16
bn,616,2020-04-16
ht,600,2020-04-16
te,583,2020-04-16
vi,580,2020-04-16
fa,579,2020-04-16
kn,550,2020-04-16
gu,512,2020-04-16
ml,486,2020-04-16
no,417,2020-04-16
ko,344,2020-04-16
cy,307,2020-04-16
sl,303,2020-04-16
ne,270,2020-04-16
eu,262,2020-04-16
iw,196,2020-04-16
or,182,2020-04-16
hu,170,2020-04-16
pa,158,2020-04-16
bg,156,2020-04-16
si,84,2020-04-16
is,83,2020-04-16
ps,64,2020-04-16
sr,60,2020-04-16
my,45,2020-04-16
sd,44,2020-04-16
am,35,2020-04-16
ckb,34,2020-04-16
hy,33,2020-04-16
lo,25,2020-04-16
ka,23,2020-04-16
km,15,2020-04-16
dv,11,2020-04-16
bo,5,2020-04-16
