lang,n,date
en,349676,2021-07-25
es,49517,2021-07-25
in,31386,2021-07-25
fr,27432,2021-07-25
und,15869,2021-07-25
pt,12843,2021-07-25
it,10942,2021-07-25
tr,7350,2021-07-25
de,6125,2021-07-25
tl,4250,2021-07-25
ja,4019,2021-07-25
nl,3829,2021-07-25
pl,2259,2021-07-25
ca,1619,2021-07-25
hi,1379,2021-07-25
th,1264,2021-07-25
ru,1203,2021-07-25
ar,1113,2021-07-25
el,718,2021-07-25
cs,710,2021-07-25
et,590,2021-07-25
sv,520,2021-07-25
zh,490,2021-07-25
ro,374,2021-07-25
fi,323,2021-07-25
vi,284,2021-07-25
ht,266,2021-07-25
da,224,2021-07-25
uk,196,2021-07-25
ml,195,2021-07-25
lv,193,2021-07-25
ta,170,2021-07-25
bn,163,2021-07-25
sl,158,2021-07-25
is,113,2021-07-25
ko,102,2021-07-25
mr,99,2021-07-25
no,95,2021-07-25
ur,92,2021-07-25
hu,87,2021-07-25
cy,73,2021-07-25
my,63,2021-07-25
iw,62,2021-07-25
kn,62,2021-07-25
gu,60,2021-07-25
fa,55,2021-07-25
lt,44,2021-07-25
te,44,2021-07-25
ne,43,2021-07-25
or,42,2021-07-25
bg,37,2021-07-25
eu,37,2021-07-25
si,17,2021-07-25
sr,13,2021-07-25
pa,10,2021-07-25
ka,5,2021-07-25
ckb,4,2021-07-25
ps,4,2021-07-25
am,3,2021-07-25
km,2,2021-07-25
hy,1,2021-07-25
lo,1,2021-07-25
