lang,n,date
en,600195,2020-11-25
es,86604,2020-11-25
pt,35260,2020-11-25
fr,23511,2020-11-25
und,19871,2020-11-25
it,14975,2020-11-25
in,14367,2020-11-25
tr,12952,2020-11-25
de,10098,2020-11-25
tl,5126,2020-11-25
ja,4669,2020-11-25
ca,3202,2020-11-25
nl,2800,2020-11-25
pl,2582,2020-11-25
hi,2528,2020-11-25
ru,2469,2020-11-25
el,2436,2020-11-25
sv,1046,2020-11-25
ro,978,2020-11-25
ar,933,2020-11-25
et,883,2020-11-25
cs,839,2020-11-25
lv,533,2020-11-25
ur,515,2020-11-25
uk,424,2020-11-25
da,360,2020-11-25
mr,351,2020-11-25
fi,347,2020-11-25
zh,346,2020-11-25
sl,311,2020-11-25
ht,279,2020-11-25
gu,215,2020-11-25
th,209,2020-11-25
no,203,2020-11-25
bn,170,2020-11-25
cy,166,2020-11-25
fa,165,2020-11-25
lt,164,2020-11-25
ta,149,2020-11-25
bg,137,2020-11-25
hu,133,2020-11-25
ko,130,2020-11-25
ml,107,2020-11-25
eu,103,2020-11-25
is,101,2020-11-25
vi,98,2020-11-25
kn,94,2020-11-25
te,69,2020-11-25
iw,67,2020-11-25
ne,57,2020-11-25
or,52,2020-11-25
si,32,2020-11-25
sr,28,2020-11-25
pa,26,2020-11-25
my,23,2020-11-25
ka,11,2020-11-25
hy,7,2020-11-25
ps,5,2020-11-25
km,4,2020-11-25
ckb,3,2020-11-25
lo,3,2020-11-25
am,1,2020-11-25
bo,1,2020-11-25
sd,1,2020-11-25
