lang,n,date
en,578870,2020-12-01
es,85419,2020-12-01
pt,41316,2020-12-01
in,23944,2020-12-01
fr,21258,2020-12-01
und,19153,2020-12-01
it,13520,2020-12-01
tr,13279,2020-12-01
de,8000,2020-12-01
tl,6361,2020-12-01
ja,4411,2020-12-01
nl,3882,2020-12-01
ca,3297,2020-12-01
el,2779,2020-12-01
ru,2654,2020-12-01
hi,1889,2020-12-01
pl,1820,2020-12-01
sv,1198,2020-12-01
et,989,2020-12-01
ro,934,2020-12-01
cs,691,2020-12-01
lv,628,2020-12-01
ar,547,2020-12-01
da,496,2020-12-01
uk,406,2020-12-01
th,398,2020-12-01
zh,397,2020-12-01
ht,380,2020-12-01
fi,317,2020-12-01
ta,292,2020-12-01
vi,275,2020-12-01
ur,262,2020-12-01
sl,237,2020-12-01
gu,224,2020-12-01
no,187,2020-12-01
mr,184,2020-12-01
cy,164,2020-12-01
lt,161,2020-12-01
ml,150,2020-12-01
hu,142,2020-12-01
ko,142,2020-12-01
bg,117,2020-12-01
eu,105,2020-12-01
bn,102,2020-12-01
fa,93,2020-12-01
kn,81,2020-12-01
te,81,2020-12-01
is,69,2020-12-01
si,51,2020-12-01
or,47,2020-12-01
iw,44,2020-12-01
ne,28,2020-12-01
sr,22,2020-12-01
my,21,2020-12-01
pa,12,2020-12-01
am,9,2020-12-01
km,9,2020-12-01
hy,8,2020-12-01
ka,6,2020-12-01
ckb,5,2020-12-01
ps,5,2020-12-01
dv,2,2020-12-01
lo,2,2020-12-01
bo,1,2020-12-01
