lang,n,date
en,359815,2020-08-27
es,110106,2020-08-27
pt,25078,2020-08-27
fr,23690,2020-08-27
in,22484,2020-08-27
und,17039,2020-08-27
it,12758,2020-08-27
tr,7459,2020-08-27
tl,5603,2020-08-27
ca,4915,2020-08-27
de,4671,2020-08-27
ja,4146,2020-08-27
hi,2843,2020-08-27
nl,2342,2020-08-27
ru,2138,2020-08-27
pl,1378,2020-08-27
et,851,2020-08-27
el,770,2020-08-27
ar,724,2020-08-27
ro,647,2020-08-27
ta,459,2020-08-27
sv,458,2020-08-27
cs,391,2020-08-27
zh,364,2020-08-27
uk,325,2020-08-27
th,313,2020-08-27
lt,239,2020-08-27
mr,230,2020-08-27
da,212,2020-08-27
te,202,2020-08-27
ml,190,2020-08-27
gu,184,2020-08-27
bn,183,2020-08-27
kn,174,2020-08-27
fi,173,2020-08-27
lv,173,2020-08-27
vi,158,2020-08-27
ko,150,2020-08-27
ht,146,2020-08-27
sl,143,2020-08-27
no,118,2020-08-27
cy,112,2020-08-27
ur,104,2020-08-27
hu,95,2020-08-27
ne,83,2020-08-27
eu,76,2020-08-27
bg,75,2020-08-27
or,69,2020-08-27
iw,66,2020-08-27
fa,65,2020-08-27
pa,52,2020-08-27
is,45,2020-08-27
my,24,2020-08-27
sr,19,2020-08-27
hy,13,2020-08-27
si,4,2020-08-27
am,2,2020-08-27
ckb,2,2020-08-27
dv,2,2020-08-27
ka,2,2020-08-27
bo,1,2020-08-27
km,1,2020-08-27
lo,1,2020-08-27
