lang,n,date
en,750669,2020-11-12
es,88117,2020-11-12
fr,35701,2020-11-12
pt,28346,2020-11-12
it,22853,2020-11-12
und,21778,2020-11-12
in,14979,2020-11-12
de,10607,2020-11-12
tr,9424,2020-11-12
tl,6808,2020-11-12
ja,4653,2020-11-12
ca,4467,2020-11-12
el,4110,2020-11-12
nl,3557,2020-11-12
ru,3053,2020-11-12
pl,2777,2020-11-12
hi,1784,2020-11-12
sv,1150,2020-11-12
ro,1129,2020-11-12
cs,1062,2020-11-12
et,934,2020-11-12
ar,723,2020-11-12
uk,525,2020-11-12
da,463,2020-11-12
lv,448,2020-11-12
sl,436,2020-11-12
ht,366,2020-11-12
zh,338,2020-11-12
ta,307,2020-11-12
ur,301,2020-11-12
no,281,2020-11-12
th,278,2020-11-12
fi,271,2020-11-12
lt,220,2020-11-12
mr,175,2020-11-12
hu,165,2020-11-12
bg,162,2020-11-12
cy,161,2020-11-12
ko,137,2020-11-12
te,128,2020-11-12
ml,124,2020-11-12
gu,120,2020-11-12
eu,115,2020-11-12
fa,109,2020-11-12
vi,98,2020-11-12
iw,91,2020-11-12
bn,89,2020-11-12
kn,87,2020-11-12
si,76,2020-11-12
is,68,2020-11-12
ne,55,2020-11-12
or,45,2020-11-12
sr,30,2020-11-12
pa,20,2020-11-12
my,13,2020-11-12
ps,12,2020-11-12
ka,8,2020-11-12
km,6,2020-11-12
hy,3,2020-11-12
am,2,2020-11-12
dv,2,2020-11-12
bo,1,2020-11-12
ckb,1,2020-11-12
lo,1,2020-11-12
