lang,n,date
en,336988,2020-10-01
es,82542,2020-10-01
pt,30781,2020-10-01
fr,24315,2020-10-01
in,24100,2020-10-01
und,14749,2020-10-01
it,10558,2020-10-01
tr,6903,2020-10-01
ca,4414,2020-10-01
tl,4208,2020-10-01
de,3727,2020-10-01
nl,3487,2020-10-01
ja,3194,2020-10-01
ru,2261,2020-10-01
pl,1907,2020-10-01
hi,1452,2020-10-01
ro,813,2020-10-01
cs,776,2020-10-01
el,762,2020-10-01
ar,534,2020-10-01
sv,510,2020-10-01
et,499,2020-10-01
uk,374,2020-10-01
lv,328,2020-10-01
ta,302,2020-10-01
da,276,2020-10-01
lt,234,2020-10-01
th,221,2020-10-01
fi,212,2020-10-01
mr,212,2020-10-01
zh,210,2020-10-01
ml,157,2020-10-01
cy,155,2020-10-01
iw,145,2020-10-01
gu,144,2020-10-01
ur,124,2020-10-01
sl,121,2020-10-01
no,115,2020-10-01
bn,108,2020-10-01
hu,106,2020-10-01
vi,103,2020-10-01
ht,95,2020-10-01
kn,90,2020-10-01
eu,86,2020-10-01
te,78,2020-10-01
bg,73,2020-10-01
ko,72,2020-10-01
or,59,2020-10-01
fa,58,2020-10-01
is,42,2020-10-01
ne,40,2020-10-01
my,26,2020-10-01
pa,23,2020-10-01
sr,17,2020-10-01
hy,13,2020-10-01
lo,4,2020-10-01
si,4,2020-10-01
am,3,2020-10-01
km,2,2020-10-01
ps,2,2020-10-01
sd,2,2020-10-01
ckb,1,2020-10-01
dv,1,2020-10-01
ug,1,2020-10-01
