lang,n,date
en,281097,2021-10-06
es,39119,2021-10-06
pt,18237,2021-10-06
und,11914,2021-10-06
in,11464,2021-10-06
fr,11012,2021-10-06
it,5783,2021-10-06
de,5274,2021-10-06
ja,4436,2021-10-06
tl,3795,2021-10-06
tr,3380,2021-10-06
nl,2949,2021-10-06
pl,1879,2021-10-06
ru,1491,2021-10-06
ca,1297,2021-10-06
el,966,2021-10-06
ro,776,2021-10-06
hi,738,2021-10-06
lv,653,2021-10-06
sv,599,2021-10-06
zh,504,2021-10-06
th,497,2021-10-06
cs,449,2021-10-06
et,362,2021-10-06
ar,331,2021-10-06
vi,326,2021-10-06
fi,301,2021-10-06
uk,270,2021-10-06
sl,233,2021-10-06
ta,181,2021-10-06
da,125,2021-10-06
ht,122,2021-10-06
ml,98,2021-10-06
hu,94,2021-10-06
ko,91,2021-10-06
no,82,2021-10-06
gu,77,2021-10-06
mr,75,2021-10-06
ur,74,2021-10-06
cy,65,2021-10-06
bn,58,2021-10-06
iw,58,2021-10-06
bg,54,2021-10-06
or,46,2021-10-06
fa,43,2021-10-06
te,43,2021-10-06
kn,42,2021-10-06
eu,40,2021-10-06
is,27,2021-10-06
lt,27,2021-10-06
sr,25,2021-10-06
si,17,2021-10-06
ne,13,2021-10-06
my,8,2021-10-06
pa,8,2021-10-06
am,6,2021-10-06
hy,3,2021-10-06
km,3,2021-10-06
ka,2,2021-10-06
lo,2,2021-10-06
