lang,n,date
en,341284,2021-07-08
es,67443,2021-07-08
in,55130,2021-07-08
pt,28426,2021-07-08
fr,22204,2021-07-08
und,14123,2021-07-08
it,6767,2021-07-08
de,5874,2021-07-08
ja,5552,2021-07-08
nl,5338,2021-07-08
tr,3817,2021-07-08
tl,3517,2021-07-08
ca,2586,2021-07-08
ru,2025,2021-07-08
hi,1949,2021-07-08
th,1747,2021-07-08
pl,1539,2021-07-08
el,1216,2021-07-08
ar,688,2021-07-08
et,670,2021-07-08
ro,670,2021-07-08
cs,574,2021-07-08
zh,511,2021-07-08
sv,384,2021-07-08
ta,341,2021-07-08
lv,312,2021-07-08
fi,301,2021-07-08
vi,276,2021-07-08
sl,271,2021-07-08
ht,246,2021-07-08
bn,221,2021-07-08
uk,219,2021-07-08
mr,215,2021-07-08
da,193,2021-07-08
ml,190,2021-07-08
ko,176,2021-07-08
no,137,2021-07-08
kn,127,2021-07-08
gu,112,2021-07-08
cy,106,2021-07-08
ur,102,2021-07-08
hu,97,2021-07-08
or,91,2021-07-08
te,79,2021-07-08
my,73,2021-07-08
fa,59,2021-07-08
lt,55,2021-07-08
eu,51,2021-07-08
bg,48,2021-07-08
iw,43,2021-07-08
ne,37,2021-07-08
si,32,2021-07-08
pa,29,2021-07-08
is,22,2021-07-08
sr,9,2021-07-08
hy,4,2021-07-08
km,4,2021-07-08
lo,4,2021-07-08
bo,2,2021-07-08
dv,2,2021-07-08
ps,2,2021-07-08
ka,1,2021-07-08
sd,1,2021-07-08
