lang,n,date
en,454281,2021-08-09
es,63576,2021-08-09
in,34266,2021-08-09
fr,23707,2021-08-09
pt,21349,2021-08-09
und,17201,2021-08-09
it,9242,2021-08-09
de,6316,2021-08-09
tl,6129,2021-08-09
ja,5298,2021-08-09
tr,4324,2021-08-09
nl,3385,2021-08-09
ca,1680,2021-08-09
pl,1600,2021-08-09
ru,1442,2021-08-09
hi,1249,2021-08-09
th,982,2021-08-09
ar,953,2021-08-09
el,650,2021-08-09
sv,650,2021-08-09
et,605,2021-08-09
zh,549,2021-08-09
cs,520,2021-08-09
ro,510,2021-08-09
ta,392,2021-08-09
fi,390,2021-08-09
lv,321,2021-08-09
vi,305,2021-08-09
ht,269,2021-08-09
uk,253,2021-08-09
da,211,2021-08-09
mr,207,2021-08-09
ur,187,2021-08-09
sl,184,2021-08-09
ml,147,2021-08-09
kn,139,2021-08-09
bn,133,2021-08-09
no,131,2021-08-09
fa,127,2021-08-09
ko,108,2021-08-09
hu,102,2021-08-09
is,93,2021-08-09
cy,89,2021-08-09
iw,75,2021-08-09
gu,69,2021-08-09
te,63,2021-08-09
or,62,2021-08-09
lt,59,2021-08-09
bg,51,2021-08-09
ne,49,2021-08-09
si,44,2021-08-09
eu,43,2021-08-09
my,37,2021-08-09
sr,25,2021-08-09
pa,15,2021-08-09
ka,9,2021-08-09
km,6,2021-08-09
ps,5,2021-08-09
am,4,2021-08-09
ckb,3,2021-08-09
hy,3,2021-08-09
lo,3,2021-08-09
bo,1,2021-08-09
dv,1,2021-08-09
sd,1,2021-08-09
