lang,n,date
en,393539,2020-03-02
es,113872,2020-03-02
fr,49300,2020-03-02
it,27995,2020-03-02
pt,26635,2020-03-02
und,25408,2020-03-02
in,13661,2020-03-02
de,11290,2020-03-02
ja,9134,2020-03-02
nl,6784,2020-03-02
ca,5793,2020-03-02
th,2335,2020-03-02
lt,2299,2020-03-02
tr,2242,2020-03-02
tl,1433,2020-03-02
ro,1394,2020-03-02
ar,1255,2020-03-02
hi,972,2020-03-02
pl,940,2020-03-02
ru,918,2020-03-02
zh,881,2020-03-02
fa,836,2020-03-02
cs,745,2020-03-02
sv,718,2020-03-02
da,530,2020-03-02
ht,474,2020-03-02
fi,453,2020-03-02
el,359,2020-03-02
ko,322,2020-03-02
vi,286,2020-03-02
et,282,2020-03-02
lv,257,2020-03-02
ur,239,2020-03-02
ta,232,2020-03-02
sl,174,2020-03-02
no,166,2020-03-02
ml,124,2020-03-02
cy,110,2020-03-02
uk,90,2020-03-02
te,86,2020-03-02
ne,83,2020-03-02
mr,78,2020-03-02
gu,72,2020-03-02
is,68,2020-03-02
eu,67,2020-03-02
bn,63,2020-03-02
kn,50,2020-03-02
hu,34,2020-03-02
iw,34,2020-03-02
or,29,2020-03-02
ckb,25,2020-03-02
bg,19,2020-03-02
pa,19,2020-03-02
my,10,2020-03-02
ps,10,2020-03-02
hy,9,2020-03-02
si,9,2020-03-02
km,8,2020-03-02
sr,8,2020-03-02
lo,5,2020-03-02
am,3,2020-03-02
sd,2,2020-03-02
ka,1,2020-03-02
