lang,n,date
en,385692,2021-03-09
es,70262,2021-03-09
pt,51991,2021-03-09
fr,20459,2021-03-09
it,20150,2021-03-09
und,14537,2021-03-09
in,13135,2021-03-09
de,8492,2021-03-09
tl,5466,2021-03-09
nl,4829,2021-03-09
ja,3814,2021-03-09
tr,3664,2021-03-09
ca,2449,2021-03-09
el,2304,2021-03-09
pl,1994,2021-03-09
ru,1578,2021-03-09
hi,1353,2021-03-09
cs,1230,2021-03-09
ro,996,2021-03-09
sv,922,2021-03-09
et,665,2021-03-09
lv,560,2021-03-09
ar,557,2021-03-09
uk,385,2021-03-09
fi,350,2021-03-09
da,325,2021-03-09
zh,293,2021-03-09
mr,276,2021-03-09
th,259,2021-03-09
ht,238,2021-03-09
ta,215,2021-03-09
no,199,2021-03-09
hu,178,2021-03-09
sl,176,2021-03-09
ur,149,2021-03-09
cy,139,2021-03-09
gu,134,2021-03-09
vi,128,2021-03-09
ml,99,2021-03-09
lt,86,2021-03-09
iw,85,2021-03-09
bn,83,2021-03-09
bg,79,2021-03-09
ko,69,2021-03-09
eu,66,2021-03-09
te,65,2021-03-09
or,61,2021-03-09
kn,60,2021-03-09
is,54,2021-03-09
fa,48,2021-03-09
pa,21,2021-03-09
sr,18,2021-03-09
km,11,2021-03-09
my,11,2021-03-09
si,8,2021-03-09
am,6,2021-03-09
ckb,6,2021-03-09
ne,5,2021-03-09
lo,3,2021-03-09
dv,2,2021-03-09
ka,2,2021-03-09
hy,1,2021-03-09
