lang,n,date
en,536162,2021-01-11
es,111878,2021-01-11
pt,41639,2021-01-11
fr,26676,2021-01-11
in,25256,2021-01-11
und,17267,2021-01-11
de,13789,2021-01-11
it,13752,2021-01-11
nl,8907,2021-01-11
tr,6166,2021-01-11
tl,5382,2021-01-11
ja,5160,2021-01-11
ca,3859,2021-01-11
pl,3132,2021-01-11
ru,2526,2021-01-11
el,1985,2021-01-11
hi,1570,2021-01-11
sv,1134,2021-01-11
th,1037,2021-01-11
cs,1032,2021-01-11
ro,940,2021-01-11
et,873,2021-01-11
ar,655,2021-01-11
lv,509,2021-01-11
da,451,2021-01-11
uk,394,2021-01-11
ht,389,2021-01-11
zh,309,2021-01-11
fi,305,2021-01-11
sl,243,2021-01-11
ta,215,2021-01-11
no,181,2021-01-11
ml,167,2021-01-11
mr,165,2021-01-11
cy,152,2021-01-11
lt,128,2021-01-11
bn,125,2021-01-11
fa,125,2021-01-11
hu,124,2021-01-11
gu,117,2021-01-11
ur,112,2021-01-11
vi,111,2021-01-11
bg,109,2021-01-11
kn,98,2021-01-11
ko,90,2021-01-11
te,74,2021-01-11
eu,71,2021-01-11
iw,65,2021-01-11
is,53,2021-01-11
or,41,2021-01-11
si,39,2021-01-11
sr,35,2021-01-11
ne,21,2021-01-11
pa,15,2021-01-11
my,14,2021-01-11
ckb,10,2021-01-11
am,6,2021-01-11
hy,5,2021-01-11
ka,5,2021-01-11
lo,3,2021-01-11
km,2,2021-01-11
ps,2,2021-01-11
bo,1,2021-01-11
dv,1,2021-01-11
sd,1,2021-01-11
