lang,n,date
en,493508,2021-01-20
es,110631,2021-01-20
pt,47822,2021-01-20
fr,25922,2021-01-20
in,19989,2021-01-20
und,15575,2021-01-20
de,14239,2021-01-20
it,10495,2021-01-20
nl,7369,2021-01-20
ja,5241,2021-01-20
tl,4952,2021-01-20
ca,4629,2021-01-20
tr,4310,2021-01-20
ru,2336,2021-01-20
pl,2292,2021-01-20
hi,1086,2021-01-20
el,994,2021-01-20
sv,853,2021-01-20
ro,820,2021-01-20
et,797,2021-01-20
cs,778,2021-01-20
th,616,2021-01-20
ar,473,2021-01-20
ht,447,2021-01-20
zh,394,2021-01-20
da,352,2021-01-20
lv,332,2021-01-20
uk,273,2021-01-20
fi,254,2021-01-20
ta,219,2021-01-20
no,200,2021-01-20
sl,195,2021-01-20
cy,177,2021-01-20
lt,128,2021-01-20
mr,125,2021-01-20
hu,123,2021-01-20
ko,122,2021-01-20
ur,120,2021-01-20
bg,96,2021-01-20
eu,90,2021-01-20
ml,89,2021-01-20
iw,87,2021-01-20
fa,79,2021-01-20
bn,78,2021-01-20
vi,78,2021-01-20
gu,72,2021-01-20
te,67,2021-01-20
is,49,2021-01-20
kn,47,2021-01-20
ne,32,2021-01-20
si,30,2021-01-20
or,29,2021-01-20
my,20,2021-01-20
pa,17,2021-01-20
sr,14,2021-01-20
hy,7,2021-01-20
dv,5,2021-01-20
ckb,3,2021-01-20
ka,3,2021-01-20
km,3,2021-01-20
lo,3,2021-01-20
am,2,2021-01-20
ps,1,2021-01-20
sd,1,2021-01-20
