lang,n,date
en,253883,2022-02-15
es,44442,2022-02-15
pt,22757,2022-02-15
in,18198,2022-02-15
fr,16392,2022-02-15
it,9060,2022-02-15
und,8521,2022-02-15
de,6487,2022-02-15
tl,5986,2022-02-15
tr,4612,2022-02-15
nl,4126,2022-02-15
ja,3697,2022-02-15
pl,1899,2022-02-15
ca,1149,2022-02-15
ru,1108,2022-02-15
hi,847,2022-02-15
et,621,2022-02-15
ar,569,2022-02-15
cs,569,2022-02-15
el,532,2022-02-15
sv,528,2022-02-15
zh,512,2022-02-15
th,463,2022-02-15
ro,416,2022-02-15
vi,351,2022-02-15
lv,345,2022-02-15
da,290,2022-02-15
fi,236,2022-02-15
ko,173,2022-02-15
uk,143,2022-02-15
ta,126,2022-02-15
no,124,2022-02-15
sl,122,2022-02-15
ht,115,2022-02-15
ml,94,2022-02-15
bn,91,2022-02-15
ur,86,2022-02-15
is,82,2022-02-15
cy,81,2022-02-15
mr,81,2022-02-15
te,52,2022-02-15
gu,51,2022-02-15
fa,50,2022-02-15
kn,47,2022-02-15
iw,46,2022-02-15
bg,40,2022-02-15
hu,40,2022-02-15
lt,39,2022-02-15
or,34,2022-02-15
eu,29,2022-02-15
pa,18,2022-02-15
si,18,2022-02-15
my,17,2022-02-15
ne,15,2022-02-15
hy,7,2022-02-15
sr,6,2022-02-15
ckb,4,2022-02-15
ka,3,2022-02-15
km,3,2022-02-15
lo,2,2022-02-15
am,1,2022-02-15
ps,1,2022-02-15
sd,1,2022-02-15
