lang,n,date
en,272253,2020-03-01
es,94540,2020-03-01
fr,33332,2020-03-01
it,23841,2020-03-01
und,20459,2020-03-01
pt,18800,2020-03-01
de,8360,2020-03-01
ja,8227,2020-03-01
nl,5828,2020-03-01
in,4536,2020-03-01
ca,4474,2020-03-01
th,2532,2020-03-01
lt,1941,2020-03-01
tr,1593,2020-03-01
tl,1120,2020-03-01
ro,1085,2020-03-01
ar,785,2020-03-01
zh,707,2020-03-01
sv,705,2020-03-01
cs,688,2020-03-01
pl,682,2020-03-01
fa,650,2020-03-01
ru,543,2020-03-01
fi,413,2020-03-01
ht,382,2020-03-01
hi,379,2020-03-01
da,345,2020-03-01
ko,335,2020-03-01
el,302,2020-03-01
vi,247,2020-03-01
et,208,2020-03-01
ur,150,2020-03-01
sl,141,2020-03-01
no,134,2020-03-01
cy,119,2020-03-01
lv,101,2020-03-01
ta,93,2020-03-01
ml,72,2020-03-01
uk,67,2020-03-01
iw,66,2020-03-01
ne,61,2020-03-01
eu,46,2020-03-01
is,45,2020-03-01
mr,35,2020-03-01
bn,33,2020-03-01
gu,31,2020-03-01
te,28,2020-03-01
kn,22,2020-03-01
ckb,19,2020-03-01
bg,17,2020-03-01
hu,16,2020-03-01
or,9,2020-03-01
km,8,2020-03-01
si,8,2020-03-01
sr,7,2020-03-01
hy,6,2020-03-01
lo,6,2020-03-01
my,6,2020-03-01
pa,6,2020-03-01
ps,4,2020-03-01
am,3,2020-03-01
ka,3,2020-03-01
sd,2,2020-03-01
