lang,n,date
en,279749,2021-05-30
es,50792,2021-05-30
pt,28767,2021-05-30
in,23093,2021-05-30
und,12202,2021-05-30
fr,10249,2021-05-30
hi,6672,2021-05-30
it,6314,2021-05-30
tl,4717,2021-05-30
ja,4390,2021-05-30
de,4070,2021-05-30
tr,3668,2021-05-30
nl,3320,2021-05-30
pl,1263,2021-05-30
et,1221,2021-05-30
ta,1166,2021-05-30
ru,1113,2021-05-30
ca,1043,2021-05-30
ht,826,2021-05-30
ar,723,2021-05-30
th,710,2021-05-30
ko,660,2021-05-30
mr,649,2021-05-30
zh,617,2021-05-30
el,595,2021-05-30
ro,530,2021-05-30
sv,485,2021-05-30
cs,451,2021-05-30
kn,438,2021-05-30
bn,366,2021-05-30
te,306,2021-05-30
or,297,2021-05-30
fi,286,2021-05-30
ml,270,2021-05-30
vi,270,2021-05-30
gu,237,2021-05-30
da,210,2021-05-30
uk,175,2021-05-30
ur,167,2021-05-30
lv,148,2021-05-30
ne,147,2021-05-30
no,102,2021-05-30
hu,100,2021-05-30
sl,89,2021-05-30
pa,76,2021-05-30
lt,71,2021-05-30
cy,70,2021-05-30
fa,69,2021-05-30
si,47,2021-05-30
eu,38,2021-05-30
bg,36,2021-05-30
is,28,2021-05-30
my,17,2021-05-30
iw,12,2021-05-30
ps,8,2021-05-30
sr,8,2021-05-30
am,6,2021-05-30
lo,4,2021-05-30
dv,3,2021-05-30
hy,2,2021-05-30
ka,1,2021-05-30
km,1,2021-05-30
