lang,n,date
en,618444,2020-12-18
es,99530,2020-12-18
pt,40794,2020-12-18
fr,27898,2020-12-18
und,21511,2020-12-18
in,18227,2020-12-18
de,16901,2020-12-18
it,16093,2020-12-18
tr,7743,2020-12-18
nl,7111,2020-12-18
tl,5294,2020-12-18
ja,4987,2020-12-18
ca,4403,2020-12-18
pl,3587,2020-12-18
el,2584,2020-12-18
ru,2435,2020-12-18
hi,1474,2020-12-18
sv,1411,2020-12-18
ro,1019,2020-12-18
cs,958,2020-12-18
et,797,2020-12-18
lv,625,2020-12-18
ar,582,2020-12-18
da,535,2020-12-18
th,476,2020-12-18
zh,400,2020-12-18
uk,393,2020-12-18
fi,332,2020-12-18
ht,314,2020-12-18
ta,258,2020-12-18
sl,245,2020-12-18
ko,223,2020-12-18
no,198,2020-12-18
cy,183,2020-12-18
ur,181,2020-12-18
mr,163,2020-12-18
lt,160,2020-12-18
vi,141,2020-12-18
gu,130,2020-12-18
fa,126,2020-12-18
hu,126,2020-12-18
bg,123,2020-12-18
eu,122,2020-12-18
ml,106,2020-12-18
te,92,2020-12-18
bn,89,2020-12-18
kn,70,2020-12-18
is,63,2020-12-18
iw,62,2020-12-18
or,41,2020-12-18
ne,39,2020-12-18
si,35,2020-12-18
my,25,2020-12-18
sr,24,2020-12-18
pa,19,2020-12-18
hy,10,2020-12-18
ps,7,2020-12-18
km,6,2020-12-18
am,5,2020-12-18
ka,5,2020-12-18
lo,5,2020-12-18
bo,3,2020-12-18
dv,2,2020-12-18
ckb,1,2020-12-18
ug,1,2020-12-18
