lang,n,date
en,517057,2020-07-29
es,138402,2020-07-29
pt,40478,2020-07-29
und,28074,2020-07-29
fr,20366,2020-07-29
in,16554,2020-07-29
it,11070,2020-07-29
tl,8083,2020-07-29
ja,6186,2020-07-29
ca,4678,2020-07-29
de,4514,2020-07-29
tr,4185,2020-07-29
nl,3359,2020-07-29
hi,3132,2020-07-29
ru,2525,2020-07-29
pl,1027,2020-07-29
ro,1019,2020-07-29
ar,998,2020-07-29
et,993,2020-07-29
ta,929,2020-07-29
el,801,2020-07-29
sv,654,2020-07-29
cs,451,2020-07-29
vi,427,2020-07-29
fa,417,2020-07-29
mr,401,2020-07-29
zh,389,2020-07-29
th,355,2020-07-29
da,328,2020-07-29
ml,316,2020-07-29
fi,313,2020-07-29
uk,308,2020-07-29
lt,305,2020-07-29
te,301,2020-07-29
gu,275,2020-07-29
kn,238,2020-07-29
bn,221,2020-07-29
lv,221,2020-07-29
ur,189,2020-07-29
ht,178,2020-07-29
cy,171,2020-07-29
sl,161,2020-07-29
no,150,2020-07-29
hu,104,2020-07-29
ko,90,2020-07-29
or,90,2020-07-29
eu,89,2020-07-29
pa,63,2020-07-29
bg,60,2020-07-29
iw,55,2020-07-29
ne,48,2020-07-29
is,37,2020-07-29
sr,24,2020-07-29
hy,15,2020-07-29
si,14,2020-07-29
km,10,2020-07-29
my,9,2020-07-29
am,7,2020-07-29
ckb,6,2020-07-29
ka,5,2020-07-29
dv,3,2020-07-29
ps,3,2020-07-29
lo,2,2020-07-29
sd,1,2020-07-29
