lang,n,date
en,1426152,2020-03-23
es,426533,2020-03-23
pt,145961,2020-03-23
und,107545,2020-03-23
fr,105691,2020-03-23
in,58124,2020-03-23
it,54126,2020-03-23
tr,25642,2020-03-23
de,23656,2020-03-23
tl,23508,2020-03-23
ca,21006,2020-03-23
hi,17339,2020-03-23
ja,15328,2020-03-23
nl,15176,2020-03-23
ar,5535,2020-03-23
th,5147,2020-03-23
ro,4465,2020-03-23
ru,4398,2020-03-23
ta,3042,2020-03-23
el,2725,2020-03-23
pl,2665,2020-03-23
lt,2409,2020-03-23
et,2000,2020-03-23
ur,1974,2020-03-23
mr,1776,2020-03-23
sv,1643,2020-03-23
da,1524,2020-03-23
cs,1481,2020-03-23
zh,1425,2020-03-23
ht,1392,2020-03-23
fi,1327,2020-03-23
fa,925,2020-03-23
ml,895,2020-03-23
te,804,2020-03-23
uk,804,2020-03-23
lv,794,2020-03-23
kn,753,2020-03-23
ko,734,2020-03-23
gu,680,2020-03-23
vi,668,2020-03-23
bn,644,2020-03-23
sl,563,2020-03-23
no,529,2020-03-23
ne,507,2020-03-23
cy,426,2020-03-23
eu,356,2020-03-23
or,226,2020-03-23
iw,222,2020-03-23
bg,189,2020-03-23
hu,183,2020-03-23
pa,160,2020-03-23
si,146,2020-03-23
is,131,2020-03-23
sr,131,2020-03-23
ps,99,2020-03-23
am,66,2020-03-23
hy,44,2020-03-23
ckb,43,2020-03-23
my,33,2020-03-23
km,25,2020-03-23
ka,20,2020-03-23
sd,13,2020-03-23
lo,11,2020-03-23
dv,4,2020-03-23
bo,1,2020-03-23
