lang,n,date
en,484468,2020-07-31
es,132853,2020-07-31
pt,34003,2020-07-31
und,23214,2020-07-31
fr,19216,2020-07-31
it,10468,2020-07-31
in,10201,2020-07-31
tl,7761,2020-07-31
ja,6180,2020-07-31
de,4207,2020-07-31
ca,4114,2020-07-31
hi,3146,2020-07-31
tr,3020,2020-07-31
nl,2835,2020-07-31
ru,2058,2020-07-31
pl,1567,2020-07-31
ro,1048,2020-07-31
el,959,2020-07-31
et,898,2020-07-31
ar,775,2020-07-31
ta,651,2020-07-31
sv,565,2020-07-31
vi,483,2020-07-31
cs,387,2020-07-31
mr,374,2020-07-31
zh,369,2020-07-31
th,353,2020-07-31
ml,333,2020-07-31
uk,314,2020-07-31
da,274,2020-07-31
fi,262,2020-07-31
lt,262,2020-07-31
kn,249,2020-07-31
lv,222,2020-07-31
bn,206,2020-07-31
gu,200,2020-07-31
te,200,2020-07-31
cy,182,2020-07-31
ur,171,2020-07-31
ht,164,2020-07-31
no,158,2020-07-31
fa,150,2020-07-31
or,118,2020-07-31
hu,97,2020-07-31
sl,93,2020-07-31
is,91,2020-07-31
ne,81,2020-07-31
ko,80,2020-07-31
bg,70,2020-07-31
iw,51,2020-07-31
pa,48,2020-07-31
eu,41,2020-07-31
sr,19,2020-07-31
hy,12,2020-07-31
my,8,2020-07-31
am,6,2020-07-31
si,6,2020-07-31
ckb,5,2020-07-31
km,5,2020-07-31
ka,3,2020-07-31
lo,2,2020-07-31
ps,2,2020-07-31
dv,1,2020-07-31
